county_index,age,mean,median,q025,q975
1,1,0.03726158459345912,0.03360247608076795,0.012124534997579975,0.08328524038701893
1,2,0.03953157380057804,0.03766907748324076,0.01975136780029415,0.06994593139261206
1,3,0.02514370526642625,0.023663212846517925,0.01174130598901856,0.04716383261745364
1,4,0.02806390473312521,0.026343825295356393,0.012430608203618241,0.05361016271936161
1,5,0.021254857935945476,0.02025808148580401,0.010413429838574196,0.03798297671406373
2,1,0.03837112129235391,0.034686474864242825,0.012526331288701,0.0852782167004033
2,2,0.04070419470791212,0.038907414852012795,0.020296891634695627,0.07135937465958592
2,3,0.02585831566883198,0.024464422220195785,0.012218612774645709,0.0474517904991888
2,4,0.02889016369411331,0.027209941132218043,0.012874335386297382,0.05450764671951559
2,5,0.021706384751406484,0.02090051896103199,0.01132722652720232,0.03660918657105864
3,1,0.021731527046132043,0.014096804094232179,0.001591334323783494,0.08670982989719576
3,2,0.03317938215470669,0.027006038678873377,0.004390162478093131,0.09635401480967838
3,3,0.04309005287721613,0.03729511774750964,0.009663305798241512,0.10954750431338917
3,4,1.3735279205112792e-06,7.348674228530564e-07,8.086750370228667e-08,6.592573531115505e-06
3,5,0.023954851928442468,0.021133702918910646,0.005887043732759312,0.058176155522862406
4,1,0.054671508611456886,0.048371302023044765,0.020127183618348206,0.12733147552304508
4,2,0.03492228561799534,0.031167686741964733,0.01395018329446532,0.07805243791072074
4,3,0.03524145040852625,0.031459915861675514,0.015052634546284893,0.07807114457950501
4,4,0.03206745490063769,0.02831943799574336,0.011572653548998025,0.07517386826678123
4,5,0.020406400419256607,0.0183410318338295,0.009198160401163037,0.04425030749025015
5,1,0.03882435510060107,0.0367876048276344,0.01673659911720879,0.07242172863281514
5,2,0.02489143310069673,0.0236317196176159,0.011537483622370046,0.045239461990608486
5,3,0.02505884981817272,0.0239729768637134,0.01261167140647648,0.04339964770997311
5,4,0.022761217495177934,0.021435330875144924,0.009695772104532645,0.04326057877167098
5,5,0.014442156298448793,0.014002245907951297,0.008062744863800658,0.023353569579890193
6,1,0.023573692902218883,0.014011700380970687,0.0014697174299958882,0.10145892272395088
6,2,0.03410435417581156,0.02684864237090866,0.00449774987425973,0.10679445781321864
6,3,0.046462704783596154,0.037015566368608255,0.00846488684182169,0.14183149870640546
6,4,1.4704519269861632e-06,7.367609840960332e-07,7.612863393139552e-08,7.372773349710967e-06
6,5,0.02546943040946555,0.02094029036599996,0.0053142758874038494,0.07274983005726192
7,1,0.029601630880086324,0.01873615258128524,0.0020629952472599467,0.12100008432888007
7,2,0.04733948587530385,0.03556920100788684,0.0051620476116073155,0.1583666285419666
7,3,0.05940844956887411,0.048972949388992285,0.012317338023008413,0.1686893349433866
7,4,1.88231784945912e-06,9.752663421561451e-07,1.0465497785934755e-07,9.134777497554175e-06
7,5,0.03226096111106459,0.027628019423266204,0.008001044987675895,0.08322581224764271
8,1,0.03316721196717208,0.030337601050967458,0.011351483051925423,0.07099827671078632
8,2,0.03562746494178993,0.03389831842881035,0.017663184846085093,0.06365038876875781
8,3,0.022688550447332853,0.021299149143868996,0.010483971903466633,0.04280422311871998
8,4,0.025345434605250308,0.023705597496738368,0.011041818312056723,0.04899906337072733
8,5,0.019140007228093604,0.01822702696177325,0.009360395309412805,0.03422458552864742
9,1,0.015433178251891689,0.010160687788104836,0.0011783472933086354,0.05994261334370891
9,2,0.024249527276974436,0.01941326287604437,0.003090913295584118,0.07155977552933519
9,3,0.031163101514400698,0.026733439592966438,0.007015023400531962,0.08065720679049108
9,4,9.812179021403133e-07,5.276735377977764e-07,5.9518779284088535e-08,4.6632851578808585e-06
9,5,0.016825943540463042,0.015193631553724005,0.004664492030565229,0.038493111050698345
10,1,0.023187703160347118,0.014713124530744578,0.001676361878161339,0.09478247848307687
10,2,0.03659034221799842,0.028147416563111018,0.004215319585579689,0.11588007395846747
10,3,0.045794981180120986,0.039035217888462766,0.010115476812205041,0.12020371948050017
10,4,1.4433601391888794e-06,7.713256669868343e-07,8.578532771163185e-08,6.927760328701653e-06
10,5,0.024254787526756545,0.02208760805662118,0.007293353263595088,0.05405839684154952
11,1,0.041015855644020424,0.038025928857201255,0.01685380957499085,0.08230990178114536
11,2,0.02638578150508272,0.024427560866059236,0.01147579818600628,0.052602625623244005
11,3,0.026486114248829164,0.02469236431748853,0.012742470823278286,0.05068036565860615
11,4,0.024112176642840953,0.022186350195501338,0.00967940708396636,0.049902152750229446
11,5,0.015319282760871904,0.01439433749527461,0.007918878173773475,0.028200308879338328
12,1,0.013133714723876116,0.008813763224269945,0.0010448190736458453,0.049886853675941915
12,2,0.02093659317112239,0.016814525432137892,0.0026312016103347117,0.061619217306196655
12,3,0.02700056039569765,0.023177038444141353,0.005931921769922381,0.0694047769479898
12,4,8.380722622493122e-07,4.5885873578975963e-07,5.196281364752451e-08,3.933857283721865e-06
12,5,0.014031240396924927,0.013270552525762511,0.004488585139294447,0.027946685118290904
13,1,0.028793919886237463,0.018282310783603192,0.00204915290003759,0.11578676574235693
13,2,0.046652597881516156,0.03466961528506125,0.005045045840290877,0.15623991937221143
13,3,0.057901783408104014,0.04802377741734411,0.012089742243619393,0.16059038225112796
13,4,1.8331698431594451e-06,9.568475743882548e-07,1.0288288612221638e-07,8.907563673122195e-06
13,5,0.031278890195253706,0.02717318414507038,0.00808647350968127,0.07877387517988971
14,1,0.031554015139475595,0.019983183849452357,0.0022150895716627505,0.12828536309163763
14,2,0.05056273891946015,0.03791124858820885,0.005520520272093339,0.1678714368863986
14,3,0.06311607898373638,0.05224908590708352,0.013119509613403474,0.17658294891293919
14,4,1.9931902671574878e-06,1.0418805625215365e-06,1.1201639132951849e-07,9.617022210819585e-06
14,5,0.03411361658301313,0.02953071679615151,0.008741705314574985,0.08634773391754828
15,1,0.024304837693275568,0.0146599055694378,0.0015714323383349306,0.10352632330613867
15,2,0.03758238721075205,0.027939952851353946,0.004163805037869416,0.12742435501281904
15,3,0.04851255361215038,0.03830411459138236,0.009223726876793485,0.1491381276092884
15,4,1.5281001647002076e-06,7.683169880484925e-07,8.090067155753788e-08,7.621509523302934e-06
15,5,0.02605205654086094,0.021637545272034757,0.006155210049873902,0.07281493615668894
16,1,0.021833711287534016,0.014162508519650648,0.0016207209206868908,0.08587372314951788
16,2,0.03444705674929424,0.02703488422692177,0.0042157339368279955,0.10606319411297363
16,3,0.04308523508455744,0.03750768569742507,0.010101453580348984,0.1087073203105313
16,4,1.3836052931410911e-06,7.404518201123665e-07,8.260403530428805e-08,6.643216176199844e-06
16,5,0.024069679101038174,0.021263364233284142,0.00608800693099295,0.05845576585899849
17,1,0.031768796170898866,0.028646791563665782,0.010415027252635165,0.07081065002722214
17,2,0.03371999734499323,0.03206310247437878,0.01695887839793638,0.05983783181120073
17,3,0.02143156916970592,0.020192578405025703,0.010114164532995927,0.039869477150521346
17,4,0.023943180856859814,0.02245228257334818,0.010642914806142267,0.04581115601888942
17,5,0.018032399690718987,0.017261325488589774,0.009224629882743897,0.03129479634572318
18,1,0.029617250097394875,0.018354850347997484,0.0020036960701855498,0.12337882997578402
18,2,0.04652120264400983,0.03494654498148682,0.005202740925816438,0.15349045815191042
18,3,0.05991613775956106,0.04815572438858928,0.011437471731726332,0.17702941234665798
18,4,1.875183955342878e-06,9.627786060246739e-07,1.0165040328577822e-07,9.171456985525392e-06
18,5,0.031453975037989745,0.027251500012909963,0.00812422450316029,0.07970993150620603
19,1,0.06286446269444294,0.03750445417053555,0.0038665362597525357,0.2714659668099211
19,2,0.10355995849354714,0.07042804804878434,0.009139164005733934,0.393425585445944
19,3,0.128116017813532,0.09788569951549822,0.021058042186263618,0.40996394547208825
19,4,3.976165377759768e-06,1.9790377006066043e-06,1.9484822169436194e-07,2.0190781139750897e-05
19,5,0.06654425778663407,0.05508220409055786,0.01571614368653925,0.1847249000779523
20,1,0.02937567905353238,0.019323809685868065,0.00223273459826294,0.11419082602763288
20,2,0.04727058570083288,0.03664668853489138,0.005585054899829593,0.14769154256795672
20,3,0.0589035074890246,0.051030098326154155,0.013458219260945559,0.14949247292447812
20,4,1.8653827321631606e-06,1.0046659224919893e-06,1.1288436744726647e-07,8.921062057722054e-06
