2.5%,50%,97.5%,count_2.5%,count_50%,count_97.5%,demographic,demo_group
0.02793490282612613,0.04489047063760783,0.0678849270913868,432176.7672922963,694458.6286832942,1050105.1825708102,age,1
0.04832439436957696,0.06652564206480696,0.08709867808298835,1113069.7192548949,1532468.8417028694,2006515.353572196,age,2
0.029101835802606047,0.04175126544615126,0.058500473240612,637028.5648712905,913904.2394998217,1280269.6980672244,age,3
0.022928748913456132,0.03455840638237538,0.050245738025100774,467210.0882829545,704167.9826721232,1023866.4975862438,age,4
0.028187537169053947,0.037887752998852775,0.048650878874546596,1298886.5237667453,1745846.2966345982,2241628.0064673973,age,5
0.021759233762631343,0.026027030026692793,0.03038576763691377,2459006.606419063,2941345.7316254145,3433888.5645887502,educ,1
0.01538283101741877,0.022669177696776628,0.032252120213196775,482515.12771427433,710948.1401474834,1011468.3932823772,educ,2
0.021025047832109657,0.027188090922637246,0.03418687559461419,1258094.478706637,1626780.381673568,2045755.5432729698,educ,3
0.007636948072251094,0.01391507212365572,0.024420812295499503,185079.19294242558,337195.5323722366,591714.1489399865,educ,4
0.033176499593888374,0.060330867266671334,0.08746889818786029,488428.9763331997,888851.4193256297,1288726.1482488485,income,1
0.02332782854589532,0.047264724617699934,0.07397348599320772,409753.3722568935,830299.1363728209,1299446.5967882068,income,2
0.032535982633576765,0.0482432329278286,0.06053574023692147,1469117.259488251,2177217.2899604156,2732210.847046213,income,3
0.019775746578685832,0.03343037162802963,0.04556168346601368,989661.3321337429,1673452.1742107994,2280535.7041164264,income,4
0.01697679546436132,0.025535708111920376,0.03585742547286548,334789.5183498099,503446.5384456899,706970.8783307308,race,1
0.013963027606741832,0.022370932272778712,0.03182540765364794,560508.1944401714,898277.9851175944,1277833.2327918352,race,2
0.03609671404042482,0.040400593704002175,0.043850338738849075,3778298.348676314,4228785.561689976,4589895.852700161,race,3
3.1310149152356725e-18,0.028750010406150578,0.038171888337131636,1e-10,918356.922833388,1219315.7115840048,ethn,1
7.541651864966695e-19,0.035570702252885875,0.03768227339141356,1e-10,4716778.520216534,4996785.883086898,ethn,2
