county_index,ethn,mean,median,q025,q975
1,1,0.006244796574066405,0.005236097825384679,0.001594441299236061,0.01685292678888877
1,2,0.02177834046885846,0.02113604249404781,0.014344784311701799,0.03288444770569008
2,1,0.0064348913106853055,0.005427725012056222,0.0016909720423061538,0.01694854475996091
2,2,0.022509238103490547,0.022028856366309378,0.015306178737137022,0.03251253761458928
3,1,0.001481386233404078,0.0013491164970121348,0.0006236394227177162,0.00310445277599373
3,2,0.021340040072461916,0.019969082085585267,0.010963476736136355,0.03977686994715802
4,1,0.02467723992880035,0.021184171574114608,0.008006053815404776,0.06203277278287739
4,2,0.02551099497501957,0.023067803294497313,0.014658563428639932,0.05097473581669053
5,1,0.015785740432342234,0.014657231071007169,0.006341643428881383,0.031620392798126784
5,2,0.01657688108757733,0.016334505859283525,0.011808204847310506,0.022762789074842377
6,1,0.0014347137374185188,0.0012187251605581648,0.0005287305878039037,0.003671534972368537
6,2,0.020659895402623994,0.01784858394520937,0.009222819123527239,0.0492238430729242
7,1,0.0017892319022910982,0.0015622215696589042,0.0006570544019498844,0.004262564700845694
7,2,0.025769879781051053,0.022999108672464005,0.01130416498853191,0.05664335555176768
8,1,0.005823121392718853,0.004894082997676243,0.001495495087550855,0.015595608108068463
8,2,0.020338443745499906,0.019718137183378434,0.013606581749604134,0.03071922412251457
9,1,0.0009742563973840583,0.0008887173145658719,0.0004275499591626666,0.0020264582716120563
9,2,0.014027757897764134,0.013115935332332967,0.007640429541364737,0.02586181868886357
10,1,0.0014126185118864703,0.0012879161320889575,0.0005937799247896692,0.002961336577946413
10,2,0.020340125291349324,0.019041600802147007,0.010498230532882074,0.037558229280024114
11,1,0.017070868252035028,0.015467747962743188,0.006490659045218046,0.036905440495451795
11,2,0.01792017718764626,0.01701005048532011,0.011832868881611357,0.029642241669592822
12,1,0.000774521514505858,0.0007277489765384717,0.0003655230291885372,0.0014497194796869034
12,2,0.011149519471221355,0.010820369231936676,0.006584610120970206,0.01760223244123812
13,1,0.0017361166685952421,0.00152815772222855,0.0006576543690401312,0.004049818789338995
13,2,0.02500541316078981,0.022527609396589356,0.011338861379775975,0.053155780003544865
14,1,0.0020143143899666897,0.0017670510770039331,0.0007526015008709351,0.004730173054685474
14,2,0.028992755757266946,0.02617114381362806,0.012959246386377216,0.06228144931273161
15,1,0.0014620363327283894,0.001227325140632023,0.0005208328049320581,0.003819463380454953
15,2,0.021050661106224916,0.0179719160528181,0.00905829671025116,0.051543637973537434
16,1,0.0014222227542436613,0.0012869091309850858,0.0005865810051809667,0.0030476834705543206
16,2,0.0204807769021754,0.01902472427043904,0.01029458449544165,0.03920135601117611
17,1,0.005290202384770901,0.0044396610082009826,0.0013680772068122389,0.014253725231006516
17,2,0.018453689626018913,0.01792846159044517,0.012497654613669914,0.027600981256956897
18,1,0.001862304846859101,0.0016232700968519588,0.000684017820455978,0.00446453152905997
18,2,0.02680954474708818,0.02397710173963244,0.011782153826304024,0.05836475685945134
19,1,0.0038037344656540258,0.00316533525204826,0.0011331456395912017,0.010175700791821667
19,2,0.054762299887029894,0.04681927439920104,0.019094118852351422,0.1365063320195893
20,1,0.0017693027021380096,0.001625683781286998,0.0007507024658400565,0.0036137630283763576
20,2,0.025467633303814054,0.024102856609950644,0.013188487018401057,0.045588903826182775
21,1,0.0007819798256866767,0.0007259995477152832,0.00036487303717905946,0.0014895641119100063
21,2,0.011262793347754405,0.010763245663862664,0.006559566711972833,0.018224624600561675
22,1,0.001221906019132518,0.00113703951424179,0.000548367044738707,0.002383723604323545
22,2,0.017598019317408026,0.01683591302562694,0.009775402071914692,0.029747664254276843
23,1,0.0016053762762699316,0.0014856501794185393,0.0007042993341886944,0.003205043841926919
23,2,0.023125356446665628,0.022036146177631683,0.0124279930798553,0.0401466142149722
