state,age,mean,median,q025,q975
AK,1,0.032214528645093686,0.030299166552586028,0.012900273043764666,0.06243427471122272
AK,2,0.036499789928017355,0.03567432352588851,0.020973351131885417,0.05664835453152303
AK,3,0.028909587709912234,0.02813479380410914,0.015881090416876967,0.04630544336533919
AK,4,0.018962903764669855,0.017994329940984162,0.00884882671310561,0.03460367401076824
AK,5,0.021107999642161986,0.020687614209680558,0.012033080788420062,0.03262753787752964
AL,1,0.04012507374821349,0.038872961898919325,0.02173340738022053,0.06579458653655272
AL,2,0.04002218635210762,0.0393686070988417,0.025773245536888385,0.057812482945127135
AL,3,0.03337682816311255,0.032822039625335434,0.021510960336652653,0.048375469693188
AL,4,0.024202348716328894,0.02359153317407007,0.014316007146844084,0.03739513599744413
AL,5,0.02292782930317817,0.02274455645475655,0.015520690853063086,0.031319595537535785
AR,1,0.035884582298819225,0.033939720889936714,0.015135357369534128,0.06757737120672846
AR,2,0.04241504397071938,0.04122730212612509,0.024283756752537137,0.0669339803715007
AR,3,0.034400677210195976,0.03348335362228817,0.01904250836206622,0.054580086342445315
AR,4,0.020303879273932905,0.019469690536978855,0.010085016187958021,0.03516829203915408
AR,5,0.024239428215572897,0.023972725915345737,0.014601319208824376,0.03529314653506072
AZ,1,0.03688103616994867,0.03439844273105207,0.01750877188207084,0.07042456122054509
AZ,2,0.0813237089576873,0.0796281167452641,0.049073553093749604,0.12319854499389697
AZ,3,0.040497637371564206,0.03862413285450933,0.02108844385835237,0.07081283029983733
AZ,4,0.03853916624292961,0.03666134076688732,0.019858592240405492,0.06789816418269415
AZ,5,0.04989795032233616,0.04906682377510525,0.03123213678073931,0.07360579723201777
CA,1,0.045208164906167886,0.04316645329126878,0.025160794246134453,0.07673277692797614
CA,2,0.088954514755259,0.08802163867273442,0.05860857995825092,0.12488719712659482
CA,3,0.046062494583347324,0.04444944084341679,0.027029829735702553,0.07402237099173994
CA,4,0.04404935269647707,0.042576574096071074,0.02570059786220411,0.07092265716259805
CA,5,0.05543358830625385,0.054824682860633675,0.036184518135102664,0.07823826518662871
CO,1,0.04739443333972036,0.04646529170744075,0.0287646174885574,0.0713791927371876
CO,2,0.06716104322705416,0.06664205029163163,0.048765157718095246,0.08839266730534259
CO,3,0.04308105150113509,0.0425126461161174,0.029907823704874215,0.05950047092105657
CO,4,0.035180697692939265,0.034577053980185055,0.0229159440434558,0.05103349257253489
CO,5,0.03634614451202196,0.036017593866743386,0.026389608503578136,0.048094533482808274
CT,1,0.022513670779660187,0.02160184485626776,0.011750295062340496,0.03830405960770352
CT,2,0.032562847781455705,0.032148213078995555,0.02224364133908165,0.0451859661550409
CT,3,0.019077229732505693,0.0186972132602986,0.012304459188189548,0.028027099418677832
CT,4,0.01833946541678494,0.017909132721898233,0.01121335291715419,0.02785985398592086
CT,5,0.018913356016616614,0.018733022799549047,0.013313966482909589,0.02557292376534056
DC,1,0.09861322016727034,0.0888280356240097,0.033328324135210356,0.22074764550470438
DC,2,0.2496757395269487,0.2443948421575648,0.14560287226203397,0.3863281734397703
DC,3,0.11658613205994492,0.10974666563319643,0.05036230308905847,0.22043890247511017
DC,4,0.11369106274423832,0.10648831756217139,0.04893643723279956,0.21946568286533238
DC,5,0.16640870264321136,0.1605737736620435,0.0858880891102902,0.2794197849879006
DE,1,0.07166528478290261,0.06711167396979331,0.034879233223196804,0.13566521017911976
