educ,county_index,mean,median,q025,q975
1,1,343.6864416293411,332.52412721026667,205.49419518180136,546.6819571459914
1,2,1586.717377006881,1549.325108480427,999.8570351900003,2391.4544063269027
1,3,97.90338026039912,86.38450011158554,19.433108044755855,243.8301058272892
1,4,132.71557858778394,119.92452075515075,64.6637453217653,279.0883478525309
1,5,251.47392731913206,246.86401715030473,155.07552454267056,374.0651700023406
1,6,38.07286312711686,31.03125071211064,6.189351473952201,112.93886449540271
1,7,81.89736169493297,68.78363036539109,15.901826135902041,226.02908139333547
1,8,617.3050625067654,597.2972285184045,370.74774848578204,983.5174509265438
1,9,91.8907178148039,82.57898422827876,20.821692409258702,216.92256399924088
1,10,100.31308387523892,89.33398983876481,21.808688047842764,241.65861266223192
1,11,181.52146710997562,172.3251481973179,102.74192937151597,317.88906840791066
1,12,27.31300758770903,25.34445869369769,6.496342139437028,59.52104517191754
1,13,103.66021296995959,88.45891608027299,20.30219145643944,276.38847565631255
1,14,82.89252080590225,71.34765801900835,17.112379675522227,218.2594553626956
1,15,62.94778034163312,51.728738666058575,11.962550790897112,182.50840111005962
1,16,226.22393460378456,202.92061608182513,52.292591156932815,538.0267987146476
1,17,289.40689796349017,280.5838494507203,176.83052716125886,453.0955200360471
1,18,50.22476016865763,41.92382882311382,9.361654408297287,139.67723593124558
1,19,115.54016393278887,92.7213273598864,19.406166553398403,346.88148129895905
1,20,190.64283478134297,172.21176839160978,43.662382670538285,447.11183852000005
1,21,26.68080793198482,24.105151980302523,5.828638332583938,61.0190660205164
1,22,344.8404844600362,319.1319489380994,86.27958106665483,755.3861967534721
1,23,247.0161110409569,227.9670330160335,62.74522969251162,543.5135528651263
1,24,99.0451831449185,91.06638238995554,24.183158740350088,219.76328566857515
1,25,275.4387063961495,247.8847715060487,58.91251317556694,647.8671609019665
1,26,602.1643356769999,582.088351747959,358.36591543014566,959.7534934773262
1,27,120.60531304967283,105.63124027607427,24.806805930066094,304.5827417859266
1,28,563.708539941209,550.5213699208916,351.11223986477574,850.7825737927132
1,29,36.806592630128996,34.227580107804904,8.940426987007319,79.36870386582032
1,30,85.34816074348215,74.91361126331763,17.09471505281199,215.38129293483138
1,31,122.08714894070464,117.06368634223844,72.16297578062651,202.15153956153497
1,32,21.636718054180378,21.108026276460897,12.40101659074644,33.88512239108594
1,33,96.29634949173476,87.94005230450671,46.51595233856189,195.70649605422784
1,34,93.22245311020964,89.51003786023212,54.356082361706655,154.0849416206522
1,35,615.8571618833863,604.5998855825128,394.46977933982663,898.1693576866754
1,36,153.62659365725733,139.14636518985205,33.849516766444616,357.5947639877131
1,37,5392.220189788929,5297.918092374224,3478.7559764019034,7831.803403640632
1,38,35.88708133605481,31.449858121035376,7.734255245978231,89.35435915473782
1,39,543.340158314064,529.1730140752908,334.07745337100937,836.6298929927033
1,40,203.14886267617527,192.37120269588104,109.3973713846284,360.23832920504475
1,41,1255.042399277839,1224.6929704504053,780.243377702187,1910.9595197290419
1,42,745.2807583557815,723.520858628925,458.40611042626585,1155.23483321921
1,43,30.046797502096933,29.43526159368305,18.123270162360225,45.44305726725095
1,44,99.45750791719217,93.2888493393751,56.244163963600435,179.73887100836043
1,45,3577.677359738785,3511.678164413334,2310.7342960910028,5220.0316164013175
1,46,51.55477296560025,46.61265841201198,11.881802635620875,120.22985851624196
1,47,74.15038911267354,67.59573423324804,17.101017424076975,167.71718672693396
1,48,490.99327520949305,448.2420769184241,116.4396556505245,1111.2466309223219
1,49,2885.1524801967453,2830.0073568400103,1823.5260422341314,4271.214969241187
1,50,65.20738569599925,57.67235686169613,13.280748193406835,159.8596883962738
1,51,1251.7835265541755,1230.5481983091754,806.916522494503,1819.010053932999
1,52,698.5621966494675,683.1137326084528,438.00484676122096,1048.9841715195384
