state,race,mean,median,q025,q975
AK,1,0.027157278255630458,0.024913173174350274,0.01045149849471546,0.05677314746438413
AK,2,0.016022816505806982,0.01562001854543967,0.008369171457594422,0.026055947486243437
AK,3,0.022622600618685026,0.022451874788311073,0.0162192790161288,0.02999004113834668
AL,1,0.023259291742338074,0.02296771483368055,0.015242552059251267,0.03291163758891984
AL,2,0.023019587310813026,0.02191675698732864,0.009519811396886914,0.042190790871082656
AL,3,0.02275383096758227,0.022786382231635323,0.01855660387873794,0.026774182442908318
AR,1,0.019617684028280943,0.019030683271521433,0.010859661618174858,0.03171809075797584
AR,2,0.022639332859595674,0.02156712464010753,0.008121546500890767,0.04281251460193196
AR,3,0.023376710795834896,0.023428978676111465,0.018618746951996945,0.02778882256905818
AZ,1,0.06835651222242597,0.06437755318283085,0.031263837028539694,0.12770996087835176
AZ,2,0.030453170644914044,0.029454124750776564,0.016355451098145762,0.050219045172287896
AZ,3,0.0416890492021996,0.04134025550471123,0.030541047207070533,0.054758474696753975
CA,1,0.07884415189198088,0.07532246727326175,0.03999802830573197,0.13738442663996167
CA,2,0.035945057903197505,0.03571070974304501,0.023053760467593918,0.050231766247563155
CA,3,0.0492552015715562,0.04906378419943106,0.035822058542764254,0.06380940554740076
CO,1,0.0673327130509166,0.06483776531968083,0.03697306227308234,0.11160577209485818
CO,2,0.030774275356455924,0.03033042686087822,0.01945761117398054,0.04460934530768921
CO,3,0.034943782783380936,0.03487171224129014,0.029700375929274568,0.04056411941512793
CT,1,0.02385783788460413,0.023240077634540137,0.013818279411801885,0.037341036724829475
CT,2,0.010811650176685714,0.010388338474174842,0.0059023790523078,0.018096620214362567
CT,3,0.017892426017158833,0.01784877112556655,0.014632260324751328,0.021415051940924624
DC,1,0.16807773276712115,0.1652516130121503,0.09672372328703388,0.25640425819870244
DC,2,0.0866354684609066,0.08068378522419975,0.03445516965567279,0.17288773554223247
DC,3,0.11336009040588593,0.11023156143305535,0.06156324902356877,0.1830408173717382
DE,1,0.03558670525480183,0.03467207155064309,0.020536904910026712,0.05584600454925149
DE,2,0.06557397200388375,0.061151570983913946,0.022414168383613608,0.13361603122473817
DE,3,0.042228571982979,0.041398799901730746,0.0261486874181461,0.06323693729789373
FL,1,0.05960475651605266,0.0589007122881231,0.03968004008604655,0.08340074446769803
FL,2,0.032289918377796926,0.031832632625462126,0.020544456424757145,0.046766017477051065
FL,3,0.04320179060387429,0.043167428226071586,0.03685869134034672,0.04973848327794478
GA,1,0.03856406881601117,0.03841464853662209,0.028527141220419723,0.049523818405925915
GA,2,0.02641495884404453,0.02584686032687738,0.01526656485214568,0.04092018378763735
GA,3,0.028698808985458426,0.028637833237812573,0.023397949904712122,0.03431033501464186
HI,1,0.059472938405499956,0.05315804028767237,0.01810767842727196,0.13691474200340573
HI,2,0.025807086272083363,0.025481508573609445,0.014732401569482212,0.03868364621802254
HI,3,0.05139407343536128,0.050318544284953054,0.02393631920578714,0.08499490120395979
IA,1,0.02605084466398619,0.024251372885177654,0.010937192804594473,0.05147767030553731
IA,2,0.02357275680280624,0.02209938808045609,0.0077118753513894965,0.047148775781738046
IA,3,0.02268777004634118,0.022737315946575038,0.019024052669581473,0.026121687838561038
ID,1,0.021597501927310067,0.019730330805622864,0.008623155881831442,0.04523287967076609
ID,2,0.017240110525981407,0.01662112008383926,0.0064351295952755905,0.03180716900726791
ID,3,0.02080887210295218,0.02075569271350709,0.016899966277958513,0.02501230488865732
IL,1,0.06064280226118544,0.058988690189536896,0.03431393995007621,0.09640254734695777
IL,2,0.03116183585630654,0.030314520698473714,0.018055216556414545,0.049182406890677224
IL,3,0.03208758886205492,0.03180665443926581,0.025441301511979878,0.04029763984743094
IN,1,0.04501234156507899,0.044315356193397215,0.02912965912267979,0.06498488155864911
IN,2,0.0249969593879752,0.024301091161657275,0.013960667306265363,0.039710793367513895
IN,3,0.0263811679873087,0.026373394422538533,0.023219793937387215,0.029580665448716414
KS,1,0.026087191839965076,0.02525969408986979,0.014653571351509711,0.0421184658519587
KS,2,0.019616057367891886,0.019139261354381328,0.009730581525652733,0.032083243965669
KS,3,0.02157140629749287,0.02155902069340991,0.01800486098468956,0.02521615522835239
KY,1,0.0451722349429904,0.04416426408417607,0.027494251418299167,0.06837270874583544
KY,2,0.033547802484687056,0.03135862538291963,0.015655429129659008,0.06296553911391359
KY,3,0.02780996772989981,0.02783465338921328,0.02387370983425206,0.031578664659478575
LA,1,0.025101935263815125,0.02472231140455449,0.013995855759416075,0.03833509246553049
LA,2,0.019238021668883436,0.01807353837947652,0.007013462889744221,0.03815342240896175
LA,3,0.02633636931466107,0.026371452059935626,0.0196292068573917,0.03282763833849909
MA,1,0.06294694850590019,0.06166016060652668,0.03906724906165682,0.0943299768888654
MA,2,0.029788999684404776,0.028941911909664324,0.017364952001850148,0.04700755285802568
MA,3,0.03985854863898388,0.03983994015306706,0.03352607482897006,0.04624840835619319
MD,1,0.04127340203111866,0.040972420390098366,0.02855609700688118,0.05566489216915497
MD,2,0.022657133899163802,0.021684521274171,0.011250137133562444,0.03943720261928428
MD,3,0.029281537250557144,0.029210931693588963,0.022731522772859374,0.03629122736456999
ME,1,0.04009864411381129,0.0368019142182303,0.016139660782431692,0.08312800432092368
ME,2,0.04413469876643141,0.03919654323415174,0.012027734531653561,0.10156481472074144
ME,3,0.03521292391840291,0.035154653887223386,0.0288967042839864,0.04188318506829257
MI,1,0.041108720847078555,0.040616092896997205,0.027216303868305154,0.05785531360012294
MI,2,0.025300873560758972,0.02467721989323266,0.014451737657558264,0.039575786614293125
MI,3,0.02734038859408586,0.027327554589245004,0.02382861805418553,0.03093898398037996
MN,1,0.0613177454023709,0.05930900557312582,0.033836999470106544,0.10016985985218076
MN,2,0.03320691788728722,0.032445412302848926,0.019054394357158687,0.05166827560362195
MN,3,0.03014471135564767,0.030041374718660908,0.025118445917932324,0.035724172458231104
MO,1,0.050186485004839514,0.04961908374242379,0.03301536086885317,0.07045245858881766
MO,2,0.030429300543729,0.02940222454597394,0.016190705839944943,0.050089528456225
MO,3,0.027217104433895162,0.02721428562628774,0.023432628103847684,0.031023131340133472
MS,1,0.01451682576279622,0.014389140685070863,0.01009936173850401,0.01967823280767632
MS,2,0.03530028362404712,0.032237765935451856,0.010136029551624742,0.07553421321038062
MS,3,0.021323562753383807,0.02141996303683773,0.01607686674887129,0.026094732469144642
MT,1,0.021241013862966382,0.01942718288944584,0.008611531908516722,0.044267179396030795
MT,2,0.026181706123149583,0.025080331321325647,0.00921675944593533,0.048818949315120326
MT,3,0.019905916728765027,0.01989496834869478,0.01573461540680616,0.024130535305752713
NC,1,0.0325664433716596,0.032250451944867545,0.02211264095350484,0.04491450886656432
NC,2,0.025833616569822797,0.025370113726443926,0.01456311103053697,0.039671467161679456
NC,3,0.028502565135785935,0.02850845693198121,0.023938203556594068,0.03303722559400124
ND,1,0.032085197908059415,0.0292975186000693,0.012366003436388582,0.06769793419075507
ND,2,0.021136842544996984,0.020052261359355006,0.007949829199533975,0.04021255878878246
ND,3,0.024760886033733883,0.02446760899944109,0.019037250499122707,0.03220913260946582
NE,1,0.02845390808714198,0.026459821847881294,0.011651206943985123,0.05661502652261025
NE,2,0.02063836852623987,0.019898155170342793,0.007771837372619497,0.03772958330083962
NE,3,0.021923997339215965,0.021888268183185684,0.01742397970735065,0.02665945467543448
NH,1,0.031268813032610816,0.029520269888438068,0.016056703798013983,0.05673852442293759
NH,2,0.03616505683494406,0.03323076559393591,0.01360932789452761,0.07349066405902449
NH,3,0.030610253414719728,0.030512762055175238,0.02437208706702867,0.037438155067855666
NJ,1,0.04713555689373735,0.04645002358113504,0.030734708503757906,0.06747142342844677
NJ,2,0.0240855184543883,0.023596727162667325,0.014638546784602705,0.0362768045963372
NJ,3,0.0315941715973874,0.031637931778923926,0.02549952409828386,0.03746151651949393
NM,1,0.03611723179843217,0.033036310979427184,0.01396697976885435,0.075723753099024
NM,2,0.02149482417559425,0.020724295296936642,0.01107475920637303,0.03587828749475393
NM,3,0.03662641513323322,0.03671982885258521,0.02476940237099736,0.04795670590026124
NV,1,0.07164510116933823,0.06825939707439826,0.03326304717693754,0.12923300836939494
NV,2,0.033375630828666014,0.032431662108517494,0.018271093060647628,0.05382470072983003
NV,3,0.0428787280796101,0.04234212825445109,0.03015149199427693,0.05855078912090711
NY,1,0.07160005437119209,0.07033814872335392,0.04177875090919535,0.10844239973583314
NY,2,0.03693281899305127,0.036294098471737625,0.022182109981790293,0.055344446188332314
NY,3,0.04236197949508364,0.04221134476107455,0.03462340814273663,0.050918730886963
OH,1,0.05011924237230952,0.04942118409164765,0.03121647793874571,0.07295306240370546
OH,2,0.028392293166430372,0.027498739202169213,0.015828716534212264,0.04576920466693515
OH,3,0.02924538354275514,0.029222532598988153,0.02541151382153481,0.03323059925275116
OK,1,0.04974868725249647,0.04797308134534216,0.026845851289010198,0.08259673649981032
OK,2,0.031198712992103625,0.031127797353084574,0.01822900503133009,0.044884006783959186
OK,3,0.02749906535744848,0.027395098007496947,0.021369720373148812,0.03419594028424948
OR,1,0.0833077345697699,0.07945073200175287,0.043946584189612455,0.1450383318429573
OR,2,0.03525545294359965,0.034743411575113986,0.021663152662693107,0.05179204466717362
OR,3,0.03891722815717397,0.03881409814582514,0.03267048561625552,0.04584776983585497
PA,1,0.0521051537244651,0.0514891438166141,0.03390001280367225,0.07378771514213858
PA,2,0.02533903235003132,0.024762034043852067,0.015040745618142882,0.03882477679010654
PA,3,0.029906441225714238,0.02987535021333398,0.0265270395657729,0.033435578885484374
RI,1,0.07475744447742111,0.0707351654857757,0.035497666458003424,0.13685203707653748
RI,2,0.03624425373734292,0.03486126771779869,0.01856869278332155,0.061787475911129666
RI,3,0.042304951034388194,0.04193075966970222,0.03230043663836097,0.05441745742450553
SC,1,0.023713958025564485,0.023174945029326304,0.013537165192656334,0.036921736382568175
SC,2,0.01905487118542937,0.01802012502353952,0.007755710847148124,0.03652242011535728
SC,3,0.026573523909004765,0.026637243877782456,0.021195630141765013,0.03157180007904359
SD,1,0.019398952103025894,0.017812358216561172,0.007793479744756779,0.039945327928386835
SD,2,0.02082086861317639,0.02002088610557755,0.008391426395749201,0.03737114151428393
SD,3,0.01703932061465036,0.01703838771987645,0.013156637687799224,0.02104468508349843
TN,1,0.04316415049887441,0.042782382946896604,0.028845282734500457,0.05953121001566812
TN,2,0.02855332664693878,0.02762092497983134,0.015287506061615275,0.046791525108233055
TN,3,0.026265866380226616,0.02623711338239345,0.022503058956121733,0.030183177112969813
TX,1,0.0506156908147608,0.049465147409112474,0.029668244080165135,0.07804420720045495
TX,2,0.02577808604328799,0.025405905425277556,0.01643599900242194,0.037295780838019106
TX,3,0.03273649200366087,0.032667604154714175,0.02622861901490235,0.03967403273281287
UT,1,0.052131381964564606,0.048989818587089756,0.024925727327846786,0.09758700594870343
UT,2,0.026131260680131576,0.02530125484699692,0.014274469999886265,0.042762057281280845
UT,3,0.02851942659422863,0.028340202383868293,0.02292862658265871,0.03511149446154175
VA,1,0.03976910754097394,0.039250318051135116,0.02614298612442635,0.056248043794814094
VA,2,0.025935602701303052,0.025128518329040988,0.01414761730638453,0.04217876631243674
VA,3,0.030678583129260004,0.030672632892080103,0.025317445081073548,0.036092217824663514
VT,1,0.03274112212732287,0.029846819837066343,0.013733992307146984,0.06808040415772654
VT,2,0.06838021709710145,0.05874317019436282,0.014689569579928168,0.16957110845337744
VT,3,0.03385118718269934,0.03392357896747018,0.02452067364601844,0.04283035764798583
WA,1,0.0726754253655322,0.0697171728558049,0.039866051782921456,0.12238845201018166
WA,2,0.03446487732608058,0.033777563043626294,0.021584218443724882,0.05096378230877823
WA,3,0.04038579433550458,0.040177294909610695,0.03290690895982936,0.04900116079463103
WI,1,0.04805507003848382,0.047011009599352525,0.028065114329849605,0.07414926142447037
WI,2,0.02485761465192054,0.024013324674238723,0.012982445282528609,0.04116125038270164
WI,3,0.02544831646388147,0.025462955039869152,0.02219107460258781,0.02869700571352477
