mean,median,2.5%,97.5%,state
0.025404008,0.02493644,0.01795112546533346,0.0355675734579563,AK
0.028010637,0.027682181,0.021735677681863307,0.03615846615284681,AL
0.029409872,0.029005274,0.02176245623268187,0.039373229350894684,AR
0.029284956,0.02902887,0.022817722335457803,0.03720766771584749,AZ
0.03401223,0.033776533,0.027192941401153803,0.04217507690191269,CA
0.03466471,0.034472145,0.02873676735907793,0.04166985191404819,CO
0.015258635,0.01503145,0.011493061808869243,0.020292767230421303,CT
0.084699154,0.08366239,0.061454820539802314,0.11374004352837795,DC
0.0648752,0.06436618,0.050683520082384345,0.0820242591202259,DE
0.039706204,0.039447375,0.03242088798433542,0.04852456972002983,FL
0.03520386,0.035027295,0.02911169743165374,0.04235582891851663,GA
0.038401715,0.037669905,0.026633317628875375,0.054294593352824445,HI
0.02913874,0.028707813,0.02136903633363545,0.03934897491708397,IA
0.025516858,0.025049139,0.017960882373154165,0.035740461573004714,ID
0.03204499,0.031904407,0.026809514965862036,0.03803586168214679,IL
0.03146211,0.031257845,0.02598206656984985,0.038097549322992565,IN
0.027402947,0.027179878,0.021807897742837666,0.034338251780718566,KS
0.0348692,0.0346609,0.028671045368537307,0.04229449182748794,KY
0.028978067,0.028337976,0.019555480685085058,0.042099116649478664,LA
0.040011864,0.039733022,0.0319277573376894,0.04969288483262062,MA
0.03483809,0.034540243,0.027417764952406286,0.0438701600767672,MD
0.044097472,0.043480586,0.0323708413168788,0.059348049946129314,ME
0.030203164,0.030043533,0.025160365272313356,0.036184386070817705,MI
0.03219454,0.03207764,0.027179680531844497,0.03789502177387476,MN
0.03338706,0.03325843,0.02803427092730999,0.039543171785771845,MO
0.027855407,0.027632743,0.02178564094938338,0.03518069945275783,MS
0.027527085,0.027199708,0.02049666438251734,0.036454012244939805,MT
0.030896612,0.030604761,0.0248440588824451,0.03859643936157227,NC
0.029903721,0.029219508,0.020562156569212675,0.04313525343313813,ND
0.02797703,0.027505795,0.020136999804526566,0.03840781021863221,NE
0.039318126,0.039032765,0.031276680808514354,0.048953564278781406,NH
0.03201786,0.031766877,0.025382209243252872,0.04005288751795887,NJ
0.03555868,0.034853578,0.024894649256020786,0.05019785026088357,NM
0.0329181,0.03265582,0.02561865160241723,0.041658394411206244,NV
0.03745205,0.037258476,0.030940084578469397,0.04506953544914722,NY
0.031930145,0.03174842,0.026569076348096132,0.038333277124911545,OH
0.032141194,0.03201115,0.026960961427539586,0.03804595582187175,OK
0.039224353,0.039029043,0.032589052245020865,0.04697017893195152,OR
0.03161599,0.031417113,0.026092968229204417,0.038260359596461055,PA
0.034097686,0.033878505,0.026909817475825548,0.04262477029114962,RI
0.028823193,0.028264154,0.020323696406558157,0.04054724890738724,SC
0.024614792,0.024328336,0.018350066710263492,0.03246786352247,SD
0.03075916,0.030560445,0.02548517067916691,0.037028696946799756,TN
0.02978081,0.029634653,0.024699297780171037,0.03570558913052082,TX
0.027611667,0.027359888,0.021703133545815944,0.034972680080682036,UT
0.03558802,0.035337478,0.028810242004692555,0.04372934205457568,VA
0.051047176,0.05059199,0.03875387730076909,0.06597138494253159,VT
0.037376188,0.037195455,0.03101048110984266,0.044841201044619076,WA
0.029061079,0.028760385,0.02308774758130312,0.0367332044057548,WI
0.030613823,0.030207928,0.022704828809946776,0.04087810358032584,WV
0.031789184,0.031398103,0.023385497368872167,0.04249391900375484,WY
