countyID,mean,median,2.50%,97.50%
1,487.1113728,465.4488007,268.6389761,829.0480956
2,2033.397947,1954.770442,1153.661062,3348.386743
3,362.9475438,343.6547039,222.1835257,616.0122911
4,275.3636158,248.988936,155.6272526,559.9624828
5,449.8451226,442.8792603,321.0669611,618.5520608
6,151.5580155,131.2509376,79.6767175,346.1694657
7,303.8875174,274.0821981,155.1978357,631.2809261
8,888.2075408,848.7762008,495.0957091,1504.800622
9,303.6266741,286.1479557,203.4258263,514.0050679
10,345.0373028,327.5377215,211.3303075,580.26548
11,361.2283415,342.5261602,239.4490049,597.9139365
12,90.18828485,89.12633588,66.09967732,120.1830265
13,368.4321119,336.5070169,195.1825671,731.6605969
14,264.1841643,241.6031656,137.2787822,522.0557314
15,218.6620902,187.0622877,110.4941805,514.457856
16,695.3184173,651.9639441,417.7835848,1228.804335
17,402.3360215,385.4894068,226.5804358,674.2825426
18,194.367824,175.722074,99.89889627,399.9095683
19,396.0153405,343.292312,152.9561577,944.3547452
20,629.4372521,605.2127818,387.5062376,1011.912796
21,97.61414289,94.75851404,70.42649904,134.8377767
22,1032.285791,1002.821164,696.5484247,1534.919742
23,725.9086801,703.0702018,466.7282202,1115.891881
24,317.1068807,308.1532851,220.1774583,468.4324829
25,939.4611798,903.4297734,600.369755,1494.562097
26,825.9335226,789.326224,452.2105441,1410.897437
27,443.9143163,414.4911076,271.357084,793.8837713
28,789.4327253,760.7103618,453.3167607,1283.367319
29,120.0365642,118.6969512,88.31548199,159.3449386
30,322.468988,301.5632316,204.6784192,569.1800875
31,178.2269593,168.8774598,98.81273976,311.1086774
32,39.89532591,38.6419186,23.07703501,63.90360481
33,152.8054226,138.3190957,71.39910155,320.5274494
34,135.7491516,128.917672,74.15064889,236.1853657
35,840.126,812.8728578,491.2199206,1344.239766
36,543.726091,527.7515413,371.4366784,808.4674719
37,8329.837869,8210.02461,5875.954405,11468.48493
38,123.8133286,113.1522141,80.45799219,235.9647309
39,770.5156247,740.950071,435.7219884,1274.943296
40,322.0434271,302.3527434,166.0252038,592.9696399
41,1646.612471,1582.778263,928.0548093,2726.88334
42,973.6821427,933.1475802,541.3520315,1636.054235
43,51.57111425,49.99915837,30.43818235,81.38294511
44,144.4388443,134.5284496,76.1253241,272.1030712
45,4449.010032,4296.53973,2567.138091,7171.779455
46,169.9067002,162.0034285,112.155976,276.1172905
47,238.7809405,228.6181998,167.4461518,370.9468866
48,1533.402908,1486.012301,978.8345752,2362.916024
49,3997.609662,3863.911403,2314.410396,6421.999411
50,253.5313129,243.7458945,161.0082931,402.4123958
51,1687.303058,1633.245355,986.8920426,2682.956951
52,967.4170635,932.9978339,553.8787627,1574.856951
53,57.88474958,57.14051065,40.60897749,79.48320562
54,115.5286898,108.6933478,64.5474022,206.0723962
55,436.8239985,417.012974,272.2516919,716.9509238
56,407.5174989,378.0663573,220.9688803,761.9458258
57,619.2967102,571.3729033,301.3062074,1219.811348
58,920.0084391,883.9456881,596.2680742,1455.263844
59,2170.184069,2140.070225,1534.432882,2986.582154
60,85.2766715,84.24274135,61.81370727,114.7038691
61,1110.142805,1070.12065,709.6343099,1742.624237
62,563.5648018,538.1290435,348.7753391,928.5974548
63,2531.204782,2434.918838,1430.905258,4171.482938
64,693.7695428,675.3510268,462.6849315,1030.2652
65,201.2024251,177.9075139,109.7723073,432.6409713
66,128.111169,109.6995522,66.86307352,301.6218263
67,470.7461104,432.1766248,244.7232696,922.2023039
68,,,,
69,,,,
70,2983.5728,2870.283414,1674.923507,4943.863208
71,,,,
72,,,,
73,90.13857927,81.20776899,49.06200279,185.0221022
74,25.5906995,22.6858708,15.53134776,53.49100398
75,,,,
76,46.14562668,41.08404251,25.03642902,99.8435367
77,930.8015291,894.5275168,523.6709122,1545.113532
78,13.68104893,13.48354621,9.023781865,19.49182781
79,,,,
80,,,,
81,,,,
