county_index,educ,mean,median,q025,q975
994,3,0.020011569512275857,0.018099648008082878,0.005108131589278204,0.0464252748381727
994,4,0.046692497741082264,0.035789349737573674,0.006142177377705152,0.14870512039203668
995,1,0.00852973858575346,0.006937702833657028,0.0016172644453491352,0.02444631972165997
995,2,0.015789058247533273,0.015291245702564717,0.008702471784007959,0.025856782969949737
995,3,0.01968126335691406,0.019210168894646128,0.011700179239907406,0.030429369953359167
995,4,0.013808506623509452,0.01252504631202637,0.0050177619075751035,0.029857108182550517
996,1,0.021206299186080618,0.015131733789898464,0.0019059826423578619,0.07389297159467272
996,2,0.013186080153895746,0.01141376730340444,0.0032025244823961434,0.03336515071038056
996,3,0.019198432567965936,0.01703696218556481,0.00423171841715481,0.04700169861767589
996,4,0.0418525143947749,0.03362339448448527,0.006354460897933838,0.12358440099797427
997,1,0.006405705747778958,0.005564488213178289,0.0018821119787381648,0.015904605413326122
997,2,0.008935725501749061,0.008336473463403181,0.004101790515097983,0.01718930946144485
997,3,0.014149674778956525,0.013273796069586577,0.006935989520135088,0.02643294368293601
997,4,0.010616636760036397,0.009557563096757858,0.003925835622194965,0.0234614212709827
998,1,0.019037302379346897,0.012498348665344565,0.001467276460437546,0.07369256853161692
998,2,0.01126851530777398,0.009608423188645718,0.0025609312220559828,0.029650592999001146
998,3,0.015575172760900275,0.014221066931537437,0.004127229150180299,0.035741455682223706
998,4,0.03566448720614972,0.028336922472426633,0.005097372413778458,0.10715842943895683
999,1,0.0053710195538277114,0.004428698018700531,0.0014488135044785882,0.014649887362422134
999,2,0.007414038999585152,0.006614706961055912,0.0032216762505503254,0.015962779255294737
999,3,0.011646235481509264,0.010509221370073108,0.0057230571729546655,0.02394444572742103
999,4,0.008800274290095096,0.007606532419425988,0.0030916145789057336,0.02120238049876092
1000,1,0.02681145166801937,0.019318087545559637,0.002450389840854124,0.09152916993049452
1000,2,0.016496486988932992,0.014719430944550891,0.004275410195303686,0.03875251313116979
1000,3,0.0242000957289878,0.021965875228077206,0.005524319877374058,0.055921840215662745
1000,4,0.053868802993106896,0.04290099924051034,0.007935343539895853,0.16113959420196583
1001,1,0.013875136549914855,0.010918705147546226,0.0015054281681852147,0.041391580932920516
1001,2,0.008932099023474407,0.008214853895136138,0.0024772247480134156,0.019293755007040864
1001,3,0.013372982197861287,0.012285954985113291,0.0029622051930998,0.02973593589530806
1001,4,0.029564555221686842,0.023724948284825586,0.004461388777321497,0.08621040112368399
1002,1,0.02531352654457654,0.019403797645477186,0.0025567768374341613,0.08004256851570414
1002,2,0.01671695581539892,0.014447609626952324,0.003877461847891397,0.04284458449733231
1002,3,0.024375700658371767,0.02157737596885869,0.005042668592187412,0.06015107352569878
1002,4,0.05521678610608338,0.04195083744994728,0.007278945228917243,0.1781294139314661
1003,1,0.008717863890290983,0.006730642888296529,0.0014799902803033789,0.02761700844537224
1003,2,0.015586685200858385,0.014927507920535047,0.008222826593879956,0.026766036702482343
1003,3,0.019288156908451343,0.01872639161775079,0.011793217721544794,0.030037804979551847
1003,4,0.013502961420025385,0.012303997024304427,0.004978495468851565,0.02895856115312155
1004,1,0.005070798125853224,0.0043544917945807365,0.001482879605697532,0.012786184882140924
1004,2,0.007089634231947182,0.006508612271237651,0.0032118059835391476,0.014152256612023146
1004,3,0.011147957462029928,0.010363494823925108,0.005645302827673233,0.020988570800620648
1004,4,0.008355029621384433,0.007475764605605757,0.0031621584441114178,0.018561017207324025
1005,1,0.008841293404391836,0.00762452519961352,0.0025373998195143796,0.022184092953828966
1005,2,0.012318063735402429,0.011491577971186592,0.005459756829692529,0.02394912419497945
1005,3,0.019333294993559506,0.018272047537720108,0.009666518690492655,0.03511288012023533
1005,4,0.01455025554716026,0.013160551167291083,0.005368809103116617,0.03184282729293441
1006,1,0.016171280622066925,0.010917248709622114,0.0013258814395765946,0.06062650107332154
1006,2,0.009550176225889447,0.0084060997230978,0.0023948991588687643,0.023088086495002887
1006,3,0.013583921902059504,0.012665945590758766,0.003377995342224378,0.02929129458925408
1006,4,0.02936003036599757,0.025015110637781814,0.0049934095012953246,0.07713918126563529
1007,1,0.015533597239710963,0.011570916609948158,0.0023764581504241477,0.05252153534237704
1007,2,0.0280787515105654,0.025213214999344265,0.012105948135536752,0.061064739208113755
1007,3,0.035259672837212826,0.031655836366322174,0.01530892502469475,0.07597800144280904
1007,4,0.024648661385721266,0.020885052826890606,0.007207768388607158,0.06370411594095465
1008,1,0.032338423338300455,0.023472254891503473,0.002960063494285795,0.11095455939075693
1008,2,0.020999183001440384,0.01739853918548624,0.004613026312342609,0.058736438357014774
1008,3,0.031358503302556795,0.026036538115426767,0.0055860666227278205,0.08867095500851829
1008,4,0.06720130113014029,0.051187934753305075,0.009164505642896769,0.21790016809174115
1009,1,0.017149558868897373,0.012397023741290664,0.00158314774624975,0.058198112484267685
1009,2,0.010572212389528338,0.009409033349098223,0.002734708987272784,0.02509627245943745
1009,3,0.015407564247040054,0.014037859110906187,0.0036383257635084565,0.03542261862709829
1009,4,0.03506638877543812,0.02729488345281474,0.004978183087023665,0.10896800786405211
1010,1,0.0074318733061097915,0.0058785020918879285,0.0013279968444027807,0.022567351976464606
1010,2,0.013394860528025786,0.012995449305757736,0.007658829884549758,0.0213742855471118
1010,3,0.01674122893540855,0.01634291516394873,0.01016985975112286,0.02558970899078913
1010,4,0.011764437986755263,0.010684740137333896,0.004289500278394538,0.025518289834874378
1011,1,0.009001449129126683,0.007301743387400351,0.0023170914498894138,0.025641913235402863
1011,2,0.012565841858056079,0.010790668873527417,0.004993346141700601,0.030917237221401443
1011,3,0.02012793412419015,0.01726679018301555,0.00782932330692004,0.04992987849745851
1011,4,0.015047269728597403,0.01249921941801033,0.0046532747556522185,0.04076762961670626
1012,1,0.014887359345484375,0.01019336346352838,0.0012544128620608497,0.05397188622574353
1012,2,0.008847176220685404,0.007795565285198099,0.00231682307052357,0.021089087861704277
1012,3,0.012871888081300603,0.011628407997667546,0.00308585538894943,0.029695099223476528
1012,4,0.028712142669576956,0.022816656384940716,0.004291578877423508,0.08465619005339824
1013,1,0.02003512914538994,0.01336702465961154,0.0016079539653874192,0.07604014689745763
1013,2,0.011913173092357673,0.0102871637225115,0.002837922870022482,0.030139087123971998
1013,3,0.016800274154401842,0.015589317170379514,0.004091224232457999,0.036979214871887836
