state,educ,mean,median,q025,q975
AK,1,0.012833418610496453,0.010710298348856027,0.003524394495862797,0.034313807126492145
AK,2,0.01131072920078395,0.010881992193959173,0.00577730118873204,0.019324720137093902
AK,3,0.017102843934464006,0.016747390915193682,0.010280087156077464,0.025997839158721912
AK,4,0.019622997771756464,0.018363925522615357,0.008160521262584923,0.03791446510824059
AL,1,0.011792174511841806,0.010557613223656843,0.004201436832588456,0.025921373207059326
AL,2,0.0123185035074942,0.012033942831379697,0.007696766217207459,0.01858593179355637
AL,3,0.017777003826874485,0.017526820654980985,0.012151716254054142,0.024826856307775803
AL,4,0.017128795609107184,0.016324172200826,0.008824976345696072,0.029878922788272762
AR,1,0.014375933254273986,0.012172226621654743,0.004016444606857135,0.036605175921127595
AR,2,0.012486977048062222,0.012071536059214039,0.006498194823830447,0.020829574547110992
AR,3,0.018860305864604857,0.018514872442805367,0.011071772659388973,0.02867172560495942
AR,4,0.02171575957473883,0.020064349558102258,0.00903577045023696,0.043542214177494924
AZ,1,0.007616045661020407,0.0070847471925341,0.0035201048066997695,0.014811884059612526
AZ,2,0.015973986668003398,0.015590199594498791,0.009998127942714522,0.02408181070217942
AZ,3,0.01666168013239514,0.016467163218499267,0.011784433097368227,0.022686074946216446
AZ,4,0.023429629370428508,0.022669374532996896,0.012961547102128873,0.038245456222002955
CA,1,0.008935838234264576,0.00840241004898835,0.004370345718808999,0.016530950304577557
CA,2,0.01900253380913284,0.018599302882854697,0.012447350908382516,0.027743961106527593
CA,3,0.02058568294866573,0.020388396916491282,0.01516796605906216,0.02715617795123918
CA,4,0.026553735053627,0.02586051523751282,0.015908529011215845,0.04111371717902752
CO,1,0.012087441030653767,0.01110470144326274,0.005373167035438474,0.0242551581084376
CO,2,0.016740558002625368,0.016481665891881908,0.011636246720344868,0.023262626540877917
CO,3,0.02075159186170989,0.020620572309785923,0.0159464863552678,0.026365654192597194
CO,4,0.023339968507245092,0.022960703780762586,0.01507188352181476,0.03375369046144711
CT,1,0.0,0.0,0.0,0.0
CT,2,0.0,0.0,0.0,0.0
CT,3,0.0,0.0,0.0,0.0
CT,4,0.0,0.0,0.0,0.0
DC,1,0.016746549266420812,0.014654188367652627,0.005120116188051929,0.040530677007577426
DC,2,0.04259918866558712,0.04091394028457038,0.021854281136198833,0.07332915526636635
DC,3,0.04000986841209882,0.0389669638583736,0.02241633537217053,0.06353909001484527
DC,4,0.05765011333369777,0.05653121699794576,0.03418501489757052,0.08726475968889845
DE,1,0.03331612110829938,0.02571213085443521,0.0071437695482372485,0.10188852651474603
DE,2,0.02635939672405384,0.024926099820058063,0.014162973728139336,0.04668307544925131
DE,3,0.03527598105240564,0.034424801052533344,0.0201526891511534,0.05500392104293037
DE,4,0.04920716507409281,0.045033312475113274,0.017241923417961828,0.1028526380640034
FL,1,0.011644313393887558,0.011069874413998398,0.005825695445780869,0.020759931382523234
FL,2,0.019382150700947745,0.019148621411048217,0.013902300668320463,0.02611211573032523
FL,3,0.023959812140086224,0.023766241944572313,0.018379318756650567,0.030640327373006773
FL,4,0.02334614519183595,0.022916507608442643,0.01511675423027191,0.03409587993913198
GA,1,0.012319761632447955,0.011262331926738162,0.004876638166735086,0.025328758717086265
GA,2,0.01587544060239761,0.015634987776905376,0.010851709854461015,0.022264551086137157
GA,3,0.0218135344954781,0.02165589982704147,0.01644752493283536,0.028042057720042184
GA,4,0.022717717667146572,0.022190369727026336,0.01425691224623322,0.03423432437096146
HI,1,0.015985299926395854,0.013740520978309852,0.004848108060437928,0.0403348092631231
HI,2,0.016248581087745295,0.01560014709632898,0.008334621862514985,0.027912540222196202
HI,3,0.023898147411986474,0.023395241950399593,0.014444537996819268,0.036371905076424405
HI,4,0.026349959615354593,0.024820962419856242,0.0111891292997371,0.04985903461429092
IA,1,0.014436267166597166,0.011817660541271223,0.003828391734274511,0.040088546849413556
IA,2,0.012446102951742227,0.011970544018959306,0.0062270134735133075,0.021327468773178402
IA,3,0.018649301414684457,0.018358093247968707,0.011281662419532578,0.027723068847824488
IA,4,0.02146336453492292,0.01989751470302971,0.008909527086255266,0.0424223385473649
ID,1,0.011110721690536618,0.009560828516517697,0.003286337209345659,0.027756259577902526
ID,2,0.010653824704082306,0.010232911729565718,0.005475543682164067,0.018233989633046534
ID,3,0.01605594653376998,0.01573520918815855,0.00985079480410893,0.02412879907165807
ID,4,0.018193945886150757,0.01703553386155863,0.007631310015540266,0.03508682038055763
IL,1,0.010107536712877858,0.00939851974581266,0.004523742884150866,0.019614072232971826
IL,2,0.0162548006486726,0.01604725932372572,0.01135786679401225,0.022363465733129043
IL,3,0.01891255820330137,0.01880031149993052,0.014498752287794006,0.02398579388160957
IL,4,0.022602822761206304,0.02216046711557094,0.014273964954260563,0.03332200961648033
IN,1,0.012610792262506536,0.011273203513752644,0.005038258956736928,0.02746914096988341
IN,2,0.01501543057628168,0.014792807871378664,0.010369609325769375,0.0209418202370612
IN,3,0.019956289178374803,0.01978544592675488,0.014723086785655476,0.026158075526016837
IN,4,0.021060549404400605,0.020306105099922426,0.012485017231739528,0.033910882335874436
KS,1,0.012073433913371902,0.010429011980069446,0.004025758111091645,0.029335601092249097
KS,2,0.012408815333277517,0.012045729579621273,0.0075165373718449596,0.019348560056974586
KS,3,0.01763844892403373,0.017480213648924006,0.012407027550111098,0.02380899841743933
KS,4,0.01784454136371768,0.017030024563832263,0.00921045758816339,0.030911705941777907
KY,1,0.01639342326241789,0.01380982590796513,0.004921835566149712,0.04136909372483861
KY,2,0.015494153636243645,0.01502302329094967,0.009665642578757835,0.02395011430634043
KY,3,0.02129899038022978,0.02098302798708368,0.014391415536069941,0.029944588348260283
KY,4,0.027300668644345803,0.02557925838909695,0.014278593580807429,0.04966227522505706
LA,1,0.011927681455300172,0.010967426953070212,0.004205019190154604,0.024882577445253285
LA,2,0.012767523734563423,0.012333534565979055,0.006945517045597638,0.021077296540238655
LA,3,0.01951963043230365,0.01899304457408226,0.01157930322178861,0.030521024902837587
LA,4,0.01789675126626149,0.016920829875710662,0.00817415744969149,0.03334925930732842
MA,1,0.011494303722324217,0.010201229947179504,0.004730475321957771,0.025819362965012436
MA,2,0.01977458826217269,0.019417109735021115,0.013358366719654301,0.02822119779703741
MA,3,0.02555122186056866,0.025330828323536107,0.01874188276723569,0.033696453525443204
MA,4,0.02113281743618545,0.020535349058893565,0.012987276833869908,0.032634388828497174
MD,1,0.010708860917266595,0.009286839165111905,0.0038501229256578118,0.025734206761977615
MD,2,0.017614325891516885,0.017243266799575874,0.011668168677568536,0.025651665249303353
MD,3,0.021718191648816984,0.02147141814597836,0.01531208157068514,0.029522226228791578
MD,4,0.017291207829556943,0.016602927398547622,0.00942087154843272,0.029049394968811603
ME,1,0.020812214142465892,0.016401996154753455,0.005097112509585824,0.0623586357912681
ME,2,0.017214740433538305,0.016501760292173553,0.008602673836102304,0.029860052395408936
ME,3,0.025926365355291487,0.02548240658771444,0.015229935881992031,0.039178055720056816
ME,4,0.031966862457889204,0.029893333275192238,0.013044148652564442,0.06191337791514568
MI,1,0.010672462653950708,0.009606066184703142,0.004515403023424307,0.022887016715973717
