ST_ABBREV,Category,demographic,value,male_pop,rate
OK,Age,45-54,5591.9278,230122,0.02429984
OK,Age,55+,19462.7052,525998,0.037001481
OK,Education,College,31104.1125,1287303,0.024162231
OK,Education,Graduate,8889.1294,255557,0.034783353
OK,Education,HS/GED,15567.9497,811387,0.019186836
OK,Education,Less HS,3363.7481,287078,0.011717192
OK,Ethnicity,hisp,9936.18,255024,0.038961745
OK,Ethnicity,nonhisp,48988.76,1733662,0.028257388
OK,Income,<20K,6797.5942,211693,0.032110623
OK,Income,"[20K, 40K)",10641.2894,267297,0.039810733
OK,Income,"[40K, 90K)",25470.0676,606480,0.04199655
OK,Income,"[90K, infty)",16015.989,457310,0.035022171
OK,Race,black,6881.2516,143204,0.048052091
OK,Race,other,15866.5671,522233,0.030382161
OK,Race,white,36177.1217,1323249,0.027339618
OR,Age,18-24,9334.8727,184110,0.050702692
OR,Age,25-34,21941.1461,302983,0.072417086
OR,Age,35-44,14942.9987,300223,0.049772998
OR,Age,45-54,10259.0072,263852,0.038881673
OR,Age,55+,25121.875,622576,0.040351499
OR,Education,College,49162.0738,1675196,0.029347058
OR,Education,Graduate,14631.2318,419411,0.034885189
OR,Education,HS/GED,14553.4538,676182,0.021522983
OR,Education,Less HS,3253.14,250221,0.013001067
OR,Ethnicity,hisp,10395.4678,313876,0.033119664
OR,Ethnicity,nonhisp,71204.4322,1799973,0.039558611
OR,Income,<20K,10943.6399,185192,0.059093481
OR,Income,"[20K, 40K)",10058.0781,222158,0.045274436
OR,Income,"[40K, 90K)",30726.0851,615541,0.049917203
OR,Income,"[90K, infty)",29872.097,678657,0.044016487
OR,Race,black,3588.9795,45446,0.078972396
OR,Race,other,15235.9709,458619,0.033221412
OR,Race,white,62774.9497,1609784,0.038995884
PA,Age,18-24,25475.6528,585417,0.043517105
PA,Age,25-34,51311.1152,858924,0.05973883
PA,Age,35-44,31966.3937,806985,0.039612129
PA,Age,45-54,25172.3082,788881,0.031908879
PA,Age,55+,65987.66,1990090,0.033158129
PA,Education,College,101764.122,4098921,0.024827051
PA,Education,Graduate,32890.9336,1274173,0.025813554
PA,Education,HS/GED,57029.3291,3039316,0.01876387
PA,Education,Less HS,8228.7451,740736,0.011108877
PA,Ethnicity,hisp,15477.8819,552580,0.02801021
PA,Ethnicity,nonhisp,184435.2481,5848332,0.031536385
PA,Income,<20K,31988.3118,617419,0.05180973
PA,Income,"[20K, 40K)",27416.2856,752986,0.036410087
PA,Income,"[40K, 90K)",75099.3328,1890102,0.039732952
PA,Income,"[90K, infty)",65409.1994,1974832,0.033121399
PA,Race,black,34459.1184,674377,0.051097707
PA,Race,other,20062.8374,870114,0.023057711
PA,Race,white,145391.1741,4856421,0.029937926
RI,Age,18-24,2700.3656,54697,0.049369538
RI,Age,25-34,6346.047,77478,0.081907729
RI,Age,35-44,3138.913,69188,0.045367882
RI,Age,45-54,2798.6988,65751,0.042565114
RI,Age,55+,7821.2556,163117,0.047948746
RI,Education,College,11497.3383,372059,0.030901922
RI,Education,Graduate,3925.9853,116908,0.033581836
RI,Education,HS/GED,6373.1121,205862,0.030958176
RI,Education,Less HS,1008.8443,81676,0.012351784
RI,Ethnicity,hisp,6192.9442,94983,0.065200554
RI,Ethnicity,nonhisp,16612.3358,442190,0.037568321
RI,Income,<20K,2826.2133,52691,0.053637496
RI,Income,"[20K, 40K)",2575.147,51420,0.05008065
RI,Income,"[40K, 90K)",8846.0099,144949,0.06102843
RI,Income,"[90K, infty)",8557.9101,187842,0.045559087
RI,Race,black,2270.8592,31681,0.071678899
RI,Race,other,4184.8222,120085,0.034848834
RI,Race,white,16349.5983,385407,0.042421643
SC,Age,18-24,9661.0417,243882,0.039613591
SC,Age,25-34,14703.1397,330317,0.04451221
SC,Age,35-44,10484.4334,317025,0.033071314
SC,Age,45-54,8626.0905,309084,0.027908564
SC,Age,55+,19207.9245,762154,0.025202157
SC,Education,College,37724.6632,1780991,0.021181838
SC,Education,Graduate,7517.5772,434373,0.017306732
SC,Education,HS/GED,13656.132,1019313,0.013397388
SC,Education,Less HS,3784.2585,375697,0.010072634
SC,Ethnicity,hisp,1441.8583,194076,0.007429349
SC,Ethnicity,nonhisp,61240.7717,2343380,0.026133522
SC,Income,<20K,15591.2062,281469,0.055392268
SC,Income,"[20K, 40K)",9402.6829,336542,0.027939107
SC,Income,"[40K, 90K)",22202.9975,793269,0.027989241
SC,Income,"[90K, infty)",15485.7428,659110,0.023494929
SC,Race,black,14263.7019,618262,0.023070643
SC,Race,other,4715.3516,281762,0.016735229
SC,Race,white,43703.5772,1637432,0.026690316
SD,Age,18-24,1005.0678,43450,0.023131595
SD,Age,25-34,1927.4194,59631,0.03232244
SD,Age,35-44,1691.0896,58413,0.028950569
SD,Age,45-54,688.2443,49225,0.013981601
SD,Age,55+,2642.1195,132947,0.01987348
SD,Education,College,4889.9737,321642,0.015203157
SD,Education,Graduate,998.2062,57139,0.017469788
SD,Education,HS/GED,1677.6093,175713,0.00954744
SD,Education,Less HS,388.1504,41643,0.009320904
SD,Ethnicity,hisp,75.7902,21713,0.003490545
SD,Ethnicity,nonhisp,7878.1498,433884,0.018157272
SD,Income,<20K,1175.4137,38545,0.030494583
SD,Income,"[20K, 40K)",1380.9457,54529,0.025324978
SD,Income,"[40K, 90K)",3130.9328,144422,0.021679057
SD,Income,"[90K, infty)",2266.6475,121056,0.018723958
SD,Race,black,205.6513,11317,0.018171892
SD,Race,other,1406.5126,73145,0.019229101
SD,Race,white,6341.7756,371135,0.017087517
TN,Age,18-24,11660.7763,315800,0.036924561
TN,Age,25-34,27296.365,477810,0.057128074
TN,Age,35-44,16798.687,440716,0.038116808
TN,Age,45-54,11493.3236,432214,0.026591743
TN,Age,55+,31125.5073,964125,0.032283684
TN,Education,College,52057.9453,2250802,0.023128621
TN,Education,Graduate,15326.8486,546942,0.028022804
TN,Education,HS/GED,25397.6953,1508292,0.016838712
TN,Education,Less HS,5592.1701,499497,0.011195603
TN,Ethnicity,hisp,8815.2653,259184,0.034011611
TN,Ethnicity,nonhisp,89559.3947,3168866,0.028262285
TN,Income,<20K,15716.0678,364470,0.043120333
TN,Income,"[20K, 40K)",15476.9349,444471,0.034821023
TN,Income,"[40K, 90K)",39880.4131,1077748,0.037003468
TN,Income,"[90K, infty)",27301.2459,882054,0.030951899
TN,Race,black,22341.907,524805,0.042571826
