county_index,educ,mean,median,q025,q975
1,1,0.006848430709108114,0.005934485287063841,0.0019978587647663396,0.016948246874324946
1,2,0.00955963656991407,0.008958620472485086,0.0043422113167039126,0.018293048707346334
1,3,0.014959387779656677,0.014220177693898217,0.007664524946441311,0.02656271994861507
1,4,0.01123548912781162,0.010270127339106708,0.004329028172123303,0.023929045497959666
2,1,0.006583638186493709,0.005714482139795519,0.0019236967531751491,0.01631690851842705
2,2,0.009196013567524128,0.008626940244537931,0.004146383999072309,0.017490493634888884
2,3,0.014301138852441466,0.013695515652766083,0.00765660894832414,0.024400680211087176
2,4,0.010782438137970819,0.009885892761978845,0.004178753758596925,0.022624902456754605
3,1,0.02214560381454406,0.01759379085785611,0.0024051249460424,0.06615465608888253
3,2,0.014930831248880758,0.0131727710848135,0.003600702022612452,0.0361188063631965
3,3,0.021766021749522364,0.019675359490799932,0.0046677820021890646,0.051098604118821334
3,4,0.049565249846956594,0.038145891383783395,0.006732863620334322,0.15796287627055794
4,1,0.009443115361052589,0.007330283282973329,0.0016511272638551286,0.02941598557765744
4,2,0.017386498910244644,0.015708481251346974,0.008384411483144658,0.03665678473257915
4,3,0.021900966636971744,0.019782179013972598,0.010609077233645408,0.046236995350312664
4,4,0.015414823422592342,0.013148558589124757,0.004781080574949935,0.039359132136957985
5,1,0.005878239994731479,0.004786565220060592,0.0011470311080103845,0.016869818925159204
5,2,0.010777851373239012,0.01048326900298223,0.006167659208860845,0.016989792689292002
5,3,0.013482702985039438,0.013199200340250333,0.00825143411458029,0.02028338395970867
5,4,0.009506950412448187,0.0086393206020988,0.0034692252521972633,0.02046485278715891
6,1,0.022506573123116474,0.017396932257927586,0.002430416273189228,0.07212103055092661
6,2,0.015593641783729371,0.012965194655217957,0.0033413372765272726,0.04349400175658192
6,3,0.023147512064337517,0.019273240048292985,0.004099477113590394,0.06611984938245687
6,4,0.05408186377032649,0.03701674288468894,0.00605098986848543,0.2020159181159353
7,1,0.02739994666880668,0.018900042839087902,0.0022960115712329266,0.09969999107489969
7,2,0.016708164310797857,0.014429658620367679,0.00407602703899566,0.042848559114372596
7,3,0.024805479588092812,0.02136109505581859,0.005126739763645621,0.0652517015482524
7,4,0.05555330635002872,0.04188501010247002,0.007475820904443257,0.18225574333850425
