state,age,mean,median,q025,q975
AK,1,0.05716764826813065,0.05268644436718331,0.020805420937585167,0.11931038861603578
AK,2,0.06769464418954203,0.06497359019119783,0.03306224371083266,0.11764039517421121
AK,3,0.05950670497621061,0.057247546065502974,0.028943472018233368,0.10309444242694772
AK,4,0.030140515227829855,0.027903049358434864,0.012135525496876147,0.06088083664638682
AK,5,0.04233954108354485,0.04105290359243867,0.021637912095751163,0.07033145109089226
AL,1,0.07206660915870135,0.06881745321803139,0.036502367728611096,0.12686109857250868
AL,2,0.07432983764820307,0.07185447141785997,0.04207640998876503,0.12019911891982478
AL,3,0.06615623274378003,0.06425682171861372,0.038311801999469666,0.10419126781869172
AL,4,0.04030820267074202,0.03868630886474772,0.02177649886577473,0.06794615866145998
AL,5,0.04450160980830215,0.04374220993511599,0.027278270946542244,0.066194831993979
AR,1,0.06629695942301819,0.060905030808185615,0.024587967014422812,0.13890048477931388
AR,2,0.08146194190442649,0.07723093191401,0.03825214598507696,0.14757727810327545
AR,3,0.07251896576184645,0.06934633404993565,0.03463283560562925,0.12774021439914016
AR,4,0.03233516822392104,0.030121073691726938,0.013591146004061258,0.06364196232436214
AR,5,0.050340922784010235,0.04922427270624452,0.02639543965760875,0.08076727533444018
AZ,1,0.04426541047277199,0.04177963181608815,0.02245806675906333,0.08035089419980639
AZ,2,0.09028456184216531,0.08813121701425637,0.05530546731774608,0.13735136479054483
AZ,3,0.04745474235626426,0.045363469216880406,0.026404513418857044,0.0801796199196309
AZ,4,0.0433123389756136,0.041324681910256504,0.023101190083152354,0.07504261755658492
AZ,5,0.05637653773265426,0.055302815791312104,0.03575308818986027,0.08303809643958011
CA,1,0.05983212470029518,0.05768635229607572,0.034167518423804416,0.09764615171190438
CA,2,0.10230149049390759,0.100310961961813,0.06620706452534458,0.14928138101546393
CA,3,0.05713425394776261,0.05526612752146325,0.034861698187330155,0.09003094511331736
CA,4,0.05323086480182997,0.0514683999448267,0.03136253581707995,0.08548679266530455
CA,5,0.0645813099088795,0.06340283804625776,0.041929520279439955,0.0939155541898439
CO,1,0.07754042880470434,0.07522007489396618,0.0445094386303128,0.12385706244554823
CO,2,0.09486637956341838,0.09369096108825575,0.06575578835681564,0.13076440232711753
CO,3,0.07079994632776385,0.06973160713083168,0.04685016814759255,0.10109820618860199
CO,4,0.05146777943894166,0.05026706846267852,0.03182510660698673,0.07810490752767317
CO,5,0.05626003279956571,0.05567844700461917,0.039055678466662004,0.07682268790962274
CT,1,0.0,0.0,0.0,0.0
CT,2,0.0,0.0,0.0,0.0
CT,3,0.0,0.0,0.0,0.0
CT,4,0.0,0.0,0.0,0.0
CT,5,0.0,0.0,0.0,0.0
DC,1,0.10249047404790454,0.09243888130885589,0.03474840865666569,0.22788183068592074
DC,2,0.259360171931717,0.25348002704046885,0.15207661354425694,0.4000641367759559
DC,3,0.12098501643114969,0.11400708305838164,0.05252987336101642,0.22948117669500348
DC,4,0.11807179187834807,0.11062077659325824,0.05083743780684944,0.22838557789467862
DC,5,0.17278961433146073,0.16696955851073325,0.08940442914307378,0.28875826994245885
DE,1,0.14554213704210578,0.13301518258045517,0.06628879762495682,0.3033546870357354
DE,2,0.14925946511024848,0.13426995068972392,0.06412360037050759,0.3157061769211623
DE,3,0.1697267906376049,0.15866806479763496,0.0791236571163153,0.32121627382671775
DE,4,0.05639029756810736,0.05346562320973265,0.02763810988643872,0.1015467983272112
DE,5,0.1260464402564583,0.12372343399565625,0.0644825247858745,0.20081721647026698
