county_index,income,mean,median,q025,q975
1,1,0.052064580675029476,0.04806685812111096,0.020601890977246434,0.10642788450229909
1,2,0.018465459313894077,0.01665159672722994,0.006396497060761815,0.04107067533006123
1,3,0.019397005136202912,0.018227468817480816,0.008935355294131309,0.03670153060773155
1,4,0.015790600948409304,0.01443708907654228,0.005838558110122283,0.03354979110811994
2,1,0.051324692200552774,0.04783038205431065,0.02098315445796049,0.10205393156336011
2,2,0.018297053474996352,0.016510558679202897,0.006373205010315761,0.04049985126563302
2,3,0.019197394489304496,0.018126283677344333,0.008916316900618877,0.03576775071266445
2,4,0.01552656962749096,0.01434514575339611,0.006000001102506451,0.031833921604850386
3,1,0.015938353158081356,0.012014636934943597,0.0022327495349656994,0.052442029608042104
3,2,0.060133232014459644,0.05336411693141063,0.011373196351826296,0.14781771941134741
3,3,0.03988216302083952,0.03607553001087169,0.011033107925545294,0.090316781592973
3,4,0.04616713386505727,0.03665345199650517,0.005062312545699635,0.13742126263062276
4,1,0.037761859069587324,0.03260059023150505,0.010458302972128132,0.0952959980775802
4,2,0.03424435397650046,0.029298199082523936,0.009283903269830944,0.08820552366646399
4,3,0.03707938679167519,0.033333977150370134,0.016098877979619293,0.08110419721938403
4,4,0.035643521887229364,0.03155678632172085,0.013341006331433546,0.08243744321232745
5,1,0.021634746237726724,0.019521738980155853,0.006521860741457237,0.048661463206834295
5,2,0.01941648857863073,0.01755428249632028,0.00591633080034274,0.04331083003713454
5,3,0.02082451441004989,0.020235521834651563,0.011273237979773658,0.03382330190676261
5,4,0.019913232043158178,0.019073170824773146,0.009441472400330657,0.035129619572134764
6,1,0.018284688218181244,0.0134735694658475,0.002478208259573028,0.06212707277106921
6,2,0.07072242262197032,0.0583174080311233,0.012347458412139595,0.20440264414498685
6,3,0.046934549142635486,0.03945277133939143,0.011634961368101484,0.12763788349062763
6,4,0.05639388507076086,0.040194700884717716,0.005205967209363222,0.19905072432809498
7,1,0.016476314824588088,0.011782013848955268,0.0020558155018481393,0.05867492697754356
7,2,0.061281647827822715,0.0517890726980163,0.010635673259615355,0.1661047125219247
7,3,0.04095543952424094,0.035115282035311904,0.009952886996849356,0.1061617444701928
7,4,0.047108120723915854,0.035887379208503954,0.004817535948812815,0.15210534078833918
8,1,0.04112287254250432,0.038529982090975176,0.018005001982555623,0.07876399774904044
8,2,0.014809034346659852,0.013393129304809293,0.005146829242585067,0.03274090543374879
8,3,0.01564559829738021,0.014635938198628254,0.006986228192384435,0.030137734099826056
