county_index,age,mean,median,q025,q975
1,1,0.03004004620354284,0.026507084560024277,0.008880928360104155,0.07107786090773278
1,2,0.031742171558648336,0.02963801320962848,0.014081973075347747,0.061619907706766834
1,3,0.020217417361182096,0.01870611342827646,0.008355778274225305,0.04064771492819479
1,4,0.022593802184023164,0.020785758553080395,0.008984917983011698,0.04658034975333574
1,5,0.01706892541578055,0.0159495192346818,0.007451617544799021,0.033109859316023005
2,1,0.030972424177684706,0.02739745282341767,0.009177385425887986,0.07320652715671548
2,2,0.03272301099445677,0.030657386192522576,0.01457860014311482,0.06293201526016705
2,3,0.020817147692858633,0.019348775102384714,0.008749405538187417,0.04134361255512903
2,4,0.023279210985173104,0.021495865296639625,0.009285216503394153,0.04763513859057036
2,5,0.0174561480226715,0.016493081857996035,0.008066643752579738,0.03233213180615451
3,1,0.029966002884655438,0.019791269779375984,0.002350614432283913,0.11582527831736204
3,2,0.04593372383597395,0.038464393788952146,0.0065188369388681265,0.12624064421445885
3,3,0.05971434080276258,0.053120694168608165,0.01469098578530491,0.1425759208021448
3,4,1.9088657694849423e-06,1.0399555218209186e-06,1.232234125228357e-07,8.993892486486352e-06
3,5,0.03325669902107709,0.030100524079380023,0.00885772072217838,0.07550118526255244
4,1,0.04998691809590382,0.04415730447853188,0.018269663279503707,0.11709642045791416
4,2,0.03194878734843403,0.028429092047341988,0.012549538514145964,0.07313667940187182
4,3,0.03223091885157793,0.028736283787930306,0.013463841584933264,0.07173064305839952
4,4,0.029230042384236564,0.025779506595396944,0.010541938064617295,0.06899740343947312
4,5,0.01862744601674208,0.01670221477521451,0.008321625573422416,0.04075564889395565
5,1,0.03543213337246981,0.03352318406325679,0.01526999104163978,0.0666368687602087
5,2,0.022702448739371654,0.021586956067738746,0.010476631106832229,0.041455605079568796
5,3,0.022874493621249197,0.02188921268110758,0.011381361300674327,0.0401801807330146
5,4,0.02071374626670533,0.019530935566631016,0.008824847315579174,0.0394110421482839
5,5,0.013154639712335037,0.012726778978223201,0.007257297570155737,0.02141757787975245
6,1,0.03258126999838968,0.019749084956565563,0.0021499457182202887,0.13838125533362147
6,2,0.047397810434476134,0.03809725394041393,0.00653477889300918,0.14447836278445056
6,3,0.06450248035472006,0.05243713955935844,0.012905822322851259,0.18808459599855737
6,4,2.033041604113866e-06,1.045463837385462e-06,1.1506824144199334e-07,9.874715332938783e-06
6,5,0.03542997593224573,0.029842963795039354,0.007969614398752628,0.0965422533651382
7,1,0.0407153127224257,0.026352640780155652,0.00302265851061937,0.1615281875499668
7,2,0.065411458622505,0.05020008169531935,0.007601490827028939,0.20961596497788984
7,3,0.08225263461992487,0.06913574250472396,0.01828209524967852,0.22311326563195494
7,4,2.6110568384128996e-06,1.3849195827133628e-06,1.5689537688482286e-07,1.2562591308225604e-05
7,5,0.044809768430499525,0.03920278292065106,0.01201044313335254,0.1118007108242413
8,1,0.02673734718352413,0.02392499600328129,0.008335492924656528,0.06088130498077212
8,2,0.02862035236947708,0.026662124740952052,0.012581499240395892,0.05589513854601313
8,3,0.018242612540227594,0.01683665241619295,0.007480185380900024,0.03704506252612734
8,4,0.02040219139932064,0.018730363378739533,0.007975470111856684,0.042719268886987787
