county_index,ethn,mean,median,q025,q975
1,1,0.0049808508509279195,0.004095455826457692,0.001173345587624485,0.014036162443656798
1,2,0.017336663785302322,0.016553435641690886,0.00956769699776859,0.02963438631114872
2,1,0.00514402693383464,0.004261995034552773,0.0012396611891667567,0.014155001858497869
2,2,0.017944021277342417,0.0172660237381307,0.01015618143400748,0.02959745501228324
3,1,0.0020508005613805794,0.0019002456384091368,0.00098508018985493,0.003976103572652989
3,2,0.02950700232648433,0.027972746852449805,0.018097117372535877,0.04994432684253863
4,1,0.022340474204061496,0.019155412284797266,0.00721643035879875,0.056511535245146
4,2,0.02321862547119375,0.021008260023909306,0.013205672359682997,0.04657461261585643
5,1,0.014287894813057965,0.013250653805687507,0.005739036023719086,0.02869333451240718
5,2,0.015091216992116362,0.014841174971450134,0.010636158233289105,0.020992027243660553
6,1,0.0019893101861073997,0.0017079121895753955,0.0008287339272886901,0.0048621194919884324
6,2,0.028631105831439154,0.024821547273948565,0.015049052732940176,0.06525371269849943
7,1,0.0024772784040210027,0.0021907692423615384,0.0010205706882949791,0.005627350618752688
7,2,0.03564281081253817,0.03209944137766238,0.018236146232101916,0.07382037072942982
8,1,0.00465457665756034,0.003834683872062908,0.001104921313712701,0.01302308950511887
8,2,0.016211786039242244,0.015502682926694222,0.009054237597402927,0.02752600546578971
9,1,0.0013448668629911767,0.0012464288045831926,0.0006810172526100163,0.002589971940620137
9,2,0.019351460289681804,0.018256660489704354,0.012975271994170956,0.03277639383045615
10,1,0.0019551684292507684,0.0018130982728462772,0.0009332352971541721,0.0037955013655030347
10,2,0.028128287966893168,0.02666427126103375,0.01726453422702387,0.04747305559735661
11,1,0.01544513479759885,0.013991573810459337,0.005885594622854875,0.033474111196571926
11,2,0.016301225629145412,0.015475654653124882,0.010670220989595308,0.027233877102423292
12,1,0.0010728487977391798,0.0010270208293605225,0.0005845936775856,0.0018240728542643287
12,2,0.015437054346966309,0.015266908601784453,0.01124794584819465,0.02057102624250718
13,1,0.0024014889973028313,0.002151488228883147,0.0010186077381679828,0.005244415223825422
13,2,0.03454630023356818,0.0315074970213,0.018267331041346997,0.06849839981902449
14,1,0.0027906423496827245,0.002500049654462584,0.0011636167260440687,0.00611296585606032
