income,county_index,mean,median,q025,q975
1,1,239.08046965298263,220.1144952168962,91.85763149289754,492.42743133800144
1,2,1066.4976520311945,993.1720892171084,432.7631628424556,2122.6780743536974
1,3,67.7280759663633,50.68535136349833,9.426450890622675,223.26697564034745
1,4,123.761672192888,106.84644135513139,33.47076246526024,313.8163998676084
1,5,147.10797123015908,132.36945209327382,43.524501254943836,334.36641548481447
1,6,40.11984419629201,29.18029642277385,5.204472212965403,137.19924339545435
1,7,49.756368451904336,35.170420291061916,6.154150280570383,178.16455036753484
1,8,680.227516074687,637.8990585920812,296.69057128955376,1307.5093440126996
1,9,48.371390604264086,35.84261882206713,6.63861479184622,162.21962180592152
1,10,47.66799688130739,34.90080656007571,6.474288547043289,163.4775283101474
1,11,110.16318775717872,96.64221527314425,30.629858932144234,268.5198417867251
1,12,15.072090714624014,11.40318204668346,2.164511417076067,48.652079016845
1,13,61.57089690532456,44.06302697849448,7.718798759187257,217.45611501796336
1,14,37.24802576706151,26.315464249515813,4.5305166587566745,135.1346821018079
1,15,27.111039432822572,18.333752807677342,3.102287177708656,102.96544785047561
1,16,91.73309901961134,66.47138957662698,11.8705684851046,318.1904512269685
1,17,284.17593122361393,266.4381110022167,121.40648725437151,550.3907071922999
1,18,35.68399685128265,25.7276126796989,4.507989735145315,126.07617396514927
1,19,39.141126295930164,25.622061315640885,3.990485664762056,155.3639021748256
1,20,103.87650825117265,77.1430928608842,14.257285660931087,346.07201011566383
1,21,18.063917017518442,13.696859445132203,2.646386757070823,57.47679138419614
1,22,115.60324446076854,84.77589336973628,15.83249481837817,395.34634777832395
1,23,104.38966682970265,77.7684396568331,14.588566515380231,350.33460152734114
1,24,74.31198656984759,57.831497162618135,11.160009099033887,230.4434489169504
1,25,139.0088049469011,103.48952227577057,19.43977725235053,465.415768643194
1,26,414.0970143369027,382.88490331072757,161.76348484868564,848.3531259539865
1,27,81.98365445170616,61.1217002488079,11.451494685153028,273.9330502443141
1,28,592.8376080413024,560.0091217157601,263.4152618361654,1114.2250158893567
1,29,21.045162702355814,16.093191717775703,3.080762978495213,66.9965868874719
1,30,43.040710648960136,31.194498843789837,5.701880715161188,148.41501444955662
1,31,121.76271688107084,113.08884522838581,50.573485087090745,243.576916510886
1,32,41.311089794088126,39.401404943937905,19.36759375406012,73.55840494738084
1,33,157.08585772836105,141.0320193285007,62.75368739393894,345.31866011672304
1,34,112.96217933508217,105.48797648964906,48.67583494551411,220.43492735460174
1,35,615.4164127792604,583.0982693527665,276.45009290015196,1137.5186861945103
1,36,74.0981787163261,55.1431045914308,10.491031432232662,246.78254328651153
1,37,2646.6832342052357,2378.6052503706437,788.0935156874586,5989.205341168027
1,38,20.193869852844983,14.671723667327642,2.719696757338018,69.13188881727261
1,39,527.6862653872198,495.382161007558,227.13845143705495,1011.6312855601153
1,40,211.09971002245408,193.6114668657226,82.38774200915081,442.1123667261057
1,41,1339.6581696349358,1264.275981650914,598.1997961233443,2520.2158856327583
1,42,463.8455202042451,428.3204938702862,179.69083791905257,951.59444420329
1,43,57.923679201278,55.67881725433831,29.240150680658676,99.1726132692069
1,44,139.37878684322928,128.40225248725272,61.14590967675266,280.9649126497327
1,45,2295.736593022688,2144.845932520041,935.9889646269831,4510.752112512317
1,46,38.5561810818212,29.562020881106562,5.704136084543868,122.50824520064285
1,47,38.62327685101251,28.87418293904988,5.5090926687534525,126.63086581578573
1,48,180.57312718216062,132.38449351494353,24.4192104376391,617.40750053072
1,49,2784.4825220772445,2630.5282369040515,1225.582810817592,5211.165343886605
1,50,47.689512286342875,35.86547668115148,6.6750296435130325,156.5221717958102
1,51,1255.8804091521783,1191.370931619162,566.2849657075368,2315.897602704368
1,52,564.9088144945546,529.4811351971953,236.97185845147715,1096.962864641607
1,53,12.103436099599389,9.198412823668088,1.6551484668915708,39.10960834936267
1,54,93.7143054056229,86.70633214073561,40.75584265304845,185.70143608929024
1,55,76.86965220077775,57.391413425792045,10.611831208200474,255.37737792891605
1,56,66.92876617154872,48.50192365816166,8.49172434449348,232.83588401524898
1,57,504.3751221000297,456.65197370349154,198.6726873158817,1090.2186436179068
1,58,187.55661975964475,162.1078382679655,49.67605995101734,473.4383074676881
1,59,368.38568315874727,320.97528945524704,99.97598870371336,906.3932716933396
1,60,16.620611162876248,12.725176043784357,2.422375060484879,52.942786070674806
1,61,174.74603666305995,130.52989343232622,24.51714756024899,582.4688035561942
1,62,77.03815938295016,56.37968544177967,10.373327439353824,264.35678098426166
1,63,1786.0223240534833,1681.1400527405872,769.8379865348738,3400.238578103492
1,64,269.0755582061675,242.65598786301513,80.3213189056642,609.8135716671321
1,65,41.13064210238853,29.283120430181356,4.939810708618617,144.9915853678921
1,66,31.35730083262866,22.66482626872834,4.15618736930049,108.38645813374313
1,67,66.16376340392823,47.068787599782645,8.235093211044457,237.70396874032954
1,68,5.129560153550268,3.472332436856101,0.5604798258664471,19.65262793369434
1,69,2.2135732977021276,1.4269907331696525,0.1961783487087324,8.885422956628334
1,70,1209.6062196974053,1114.330519618913,459.209241063863,2502.337295017531
1,71,15.946976939997251,11.666334579405092,2.0987559835526475,54.14130213637387
1,72,0.7673821968988183,0.4096162037631538,0.044855383435206876,3.5396127213187834
1,73,3.2530171342007166,2.069801417903047,0.2930527416560068,13.308566393380037
1,74,2.4643876239333977,1.647398854766987,0.26713411090462424,9.244361922917953
1,75,3.450820422204572,1.9198575533963136,0.21964740581645986,15.920348025665724
1,76,3.4259740131200123,2.2901241310822633,0.3740681923543153,13.150100804601815
