state,race,mean,median,q025,q975
AK,1,0.0032599126356669126,0.002987483704266552,0.0013343450855451838,0.006732969432182479
AK,2,0.004365138018688741,0.004129026391258892,0.0013572738228321798,0.008680794417405654
AK,3,0.006129927799736595,0.006015835538878502,0.003950929020713096,0.0089852530811328
AL,1,0.016839949868871964,0.016388242171182166,0.009953287606856423,0.026234670865831422
AL,2,0.008664135293118415,0.008353928869904633,0.004010176665927239,0.015055828081420402
AL,3,0.015393886980207754,0.01520416247451276,0.011071150766103155,0.020827344439480967
AR,1,0.005800204598432473,0.005470939674857608,0.0027669477047221605,0.01071315969848313
AR,2,0.015011169765324548,0.014125582240080595,0.004879714634461714,0.02990682018994504
AR,3,0.01451687448391516,0.014344907687094443,0.009692244696548688,0.02038677946862954
AZ,1,0.15428184402401773,0.14566585170505314,0.07496944055605849,0.2827076598121601
AZ,2,0.08746951851918379,0.08313904903671568,0.04431087672630854,0.15660499904961223
AZ,3,0.2973543325264172,0.29473348186314463,0.22930452232784285,0.38082670786372785
CA,1,0.12949003451454658,0.12599425525617794,0.0785994621054353,0.2002293555333865
CA,2,0.04354082814554506,0.042047919671612394,0.02540632220136637,0.07039949223620866
CA,3,0.18826874335622729,0.18690513988988697,0.14879475807231263,0.23575021845355906
CO,1,0.004917437433441039,0.004800098871624047,0.0031037160497876296,0.0073921990681573
CO,2,0.009640775857399704,0.009362484423931745,0.004971415937957446,0.015837443544204948
CO,3,0.029169491943493598,0.029007696485587882,0.023622574549204016,0.035681978047496954
CT,1,0.13303312467617978,0.1308803547097186,0.0854211188229045,0.19298849786857988
CT,2,0.04467632932464741,0.04265156342595984,0.02233037132910598,0.07946192457483907
CT,3,0.0637091165563017,0.06264582737606628,0.045735849851620984,0.08773689954682545
DC,1,10.506430251371585,9.661780165552365,4.086572177622932,21.789717488982397
DC,2,5.117524595872479,4.720594515849102,2.0391325563727283,10.436811852071688
DC,3,6.508228446795095,6.428469911286417,4.685419980579195,8.777930766368454
DE,1,0.01446617659996556,0.013650113185690989,0.006821710552787254,0.0267432253006689
