county_index,race,mean,median,q025,q975
1,1,0.041736111390794695,0.03842743108630704,0.015840755386725577,0.08662065666270925
1,2,0.017252841988437302,0.01382262847330172,0.003646969961582862,0.050813666774155664
1,3,0.04135239672328585,0.039405551990749646,0.02135862751761902,0.07306317973018356
2,1,0.07659619800608425,0.06994252201164924,0.02765165217059118,0.16432359368274974
2,2,0.0311429606182565,0.02517805911527223,0.006715688756304681,0.09010617066998738
2,3,0.07455612475050705,0.07155473478227915,0.040993420898030854,0.12490705592618417
3,1,0.006069949995077031,0.005487670124457817,0.0021345768787708512,0.01343089973638027
3,2,0.06720174811598142,0.06070629432866157,0.011837497946091577,0.16030052134766057
3,3,0.020277015731081812,0.01921836373615157,0.006654788631834031,0.0405668443815043
4,1,0.0014858558147059194,0.001278227013150597,0.000489725019425008,0.0037125724993031023
4,2,0.0008292736790760755,0.0007113005580064982,0.0002568991879880936,0.002096379123048183
4,3,0.0011044941746286739,0.0009996470121785717,0.000617458235545646,0.00223304311750695
5,1,0.16132506029733348,0.14709983377337676,0.061848357783265515,0.34303230224440096
5,2,0.09169277348779484,0.08135233197506014,0.030336782176354143,0.21116316107240768
5,3,0.11965147674531537,0.11763305721665127,0.08542756529443248,0.16500027061539166
6,1,0.004104890633612105,0.0034513062288763323,0.0014170439037422676,0.010742027648568242
6,2,0.04999018133790301,0.03878492935077132,0.0059068852047278264,0.16099615578541138
6,3,0.0133809641415687,0.011698805277895399,0.00528313251145464,0.03174594398194574
7,1,0.0066047715075426335,0.005696607025495047,0.002317120870976905,0.0162938918099147
7,2,0.08135556937929629,0.06340389057994647,0.009584436934955195,0.2549388986899742
7,3,0.021493330391345218,0.019397973308265454,0.008681364175001911,0.04660444588025519
8,1,0.1492738565116103,0.12961915893263515,0.04364458834790686,0.36663621891529385
8,2,0.0526476218235342,0.04796309900938436,0.016192933350293905,0.11576275980836431
8,3,0.1421179149643094,0.13497500114725014,0.06311322044690028,0.2622174366240276
9,1,0.00020651214875770237,0.00017671751887219934,5.0078918048169234e-05,0.0005359888090861899
9,2,0.0019286612081006905,0.0018760191055356818,0.0005821834085994805,0.0037388743849127524
9,3,0.0007020065723995643,0.0006218198661491075,0.00014698138326360536,0.0016804028058894373
10,1,0.054649978151925356,0.04946388626856541,0.02205371781028945,0.1176567441016524
10,2,0.7281766321891169,0.5382386086343536,0.07597405981090749,2.452177856683733
10,3,0.17535453225390896,0.16662268745969683,0.0984696810185069,0.30235490028864903
11,1,0.2110293162498622,0.18806832541502425,0.07656735605449629,0.48188895770548035
11,2,0.11845206589140604,0.10465393682009197,0.038879596529906774,0.2785280613551954
11,3,0.15642956352045964,0.14845196203438168,0.10257450057635013,0.26099466213954503
12,1,0.0007919570023692645,0.0007384870943680996,0.00036310172930555974,0.0015339421377987346
12,2,0.01019483009177516,0.008135101516441087,0.0012333064510090103,0.03022430842688812
12,3,0.002559143030276374,0.0025523650661429397,0.0015299836405206157,0.0036304833461921087
13,1,0.00540581954373986,0.00471308734101947,0.0019560524784283015,0.012884088489438943
13,2,0.06764818039602764,0.05237083878054268,0.0076153492545028975,0.21311917045247994
13,3,0.01753625749659566,0.016015072240161955,0.007661747978779747,0.03629033409892231
14,1,0.0068018005568220045,0.0060404987414004255,0.002297977814352743,0.015819458854758783
14,2,0.07847962681141371,0.06607582450824662,0.01201233518941035,0.21901105470017088
14,3,0.022966854929626353,0.020808663385577464,0.00720589385201054,0.051541458502244175
15,1,0.04563451916422207,0.03773113083547979,0.014352158627286631,0.12347307050338682
15,2,0.5283303302191349,0.4239243014937919,0.07053627077176539,1.6418133465284726
15,3,0.1497204303517114,0.12949748783564236,0.0488051658104763,0.3772394452674148
16,1,0.01048241422373443,0.009314930055304982,0.0037004247162127422,0.024259315218515817
16,2,0.11840486963284344,0.10422805248074771,0.018888910907231375,0.30216788931713046
16,3,0.034568723660748604,0.032590431027810715,0.01213740528485201,0.06962543433126858
17,1,0.031402418008728616,0.027568955653801942,0.009918056981501708,0.07511777892475997
17,2,0.01250620183633204,0.009997895818473974,0.00262442257626037,0.03698704690931581
17,3,0.02957825737053411,0.02835736282167245,0.01672309734374358,0.0497501924234546
18,1,0.0009451323811318134,0.0008175710514878933,0.00032724222221861525,0.0023187746804596457
18,2,0.011390907674072132,0.009158991837147183,0.0014106962135627468,0.03412318217521549
18,3,0.0030842978414024596,0.0027876747634769765,0.0011983935470815394,0.0066928230740856765
19,1,0.006048794567648891,0.004419077913574665,0.0009056614867304257,0.020659331144227955
19,2,0.05207503875203707,0.044658807585929064,0.014863165623955123,0.13264357549373723
19,3,0.020861037050713318,0.015272347387560222,0.002712471251338949,0.07098307095612316
20,1,0.014054808379179154,0.012754263982298366,0.005559638594443591,0.03002878913210727
20,2,0.16774039085044823,0.14244433828252018,0.023525276349403088,0.44880580116301233
20,3,0.04595243323941003,0.04442854811723006,0.019638823242090056,0.08145908585722043
21,1,0.0013533123224222187,0.001239190233146213,0.0005924248233529711,0.0027234535116275743
21,2,0.016592095908038635,0.013887309510315695,0.0022507846224257,0.04421842621063232
21,3,0.004405559795960533,0.004344670279939844,0.0021941079232672767,0.0067237532832963775
22,1,0.0034430851201267608,0.0031862846841723552,0.001377190426476447,0.007026713019239026
22,2,0.03960267102548624,0.03560041967465718,0.006520742039526408,0.09460934610997888
22,3,0.011422182079861504,0.011188731148493664,0.004460399900117665,0.01993103022461003
23,1,0.024412383127549522,0.02235601466554438,0.010296555776418482,0.05046329542788409
23,2,0.3105957417296587,0.24752326321568877,0.03722840443416404,0.930499090536249
23,3,0.07891618284024371,0.07677311460229566,0.04216137205873177,0.1277969460612378
24,1,0.0005515183667343753,0.0005026607447333,0.0001826995021191483,0.001202165669661179
24,2,0.005788258437710754,0.005553036266292528,0.001244323713078862,0.011873257722379458
24,3,0.0018507558707118617,0.0017834181611449925,0.0005530923846028532,0.0035791622835120575
25,1,0.002678914116665484,0.0024195365357723778,0.0008552993327719696,0.006015666875080052
25,2,0.028182708780700987,0.026648164065941532,0.005868584411290845,0.060552262598155555
25,3,0.008990677044761466,0.008541240981937832,0.0026192630628427242,0.018195523393718556
26,1,0.0015961125245572787,0.0014347712949531566,0.0005071721499114799,0.003618487620258808
26,2,0.0005783981222756803,0.000526143823909046,0.00017597149409213556,0.0012804203977370102
26,3,0.0015634995295145148,0.0014772557364562382,0.0006814786349592571,0.0029493087266194823
27,1,0.009795289439066093,0.008254316154178402,0.0022304915145779174,0.0264029890596161
27,2,0.09113999182930478,0.0861302802961238,0.026665389022954507,0.18952346919093702
27,3,0.03333789075314115,0.02887594038462102,0.006574224840193351,0.08473345725928653
28,1,0.005823105042280665,0.005295197381026229,0.002070370784627931,0.012593401911654561
28,2,0.0023089492117233453,0.001922615605957671,0.0005323081836465811,0.006283970532274296
28,3,0.005643944864103842,0.0054338360718344195,0.0031316890058996796,0.009401172284378416
29,1,0.0013878019510328863,0.0012811799561744202,0.0005428279879208226,0.0028554201186942376
29,2,0.015544534577913171,0.014427523409408243,0.002758480309484147,0.03448151220744738
29,3,0.0045806330257880095,0.004593624824771443,0.001746501002045512,0.007546503590720728
30,1,0.0013837304560856748,0.001235374287361337,0.0004817648305169993,0.0031715772347679417
30,2,0.015263384387850904,0.013814734869647391,0.0026696533237065417,0.036797327744889245
30,3,0.0045930343571190385,0.0043533359902958695,0.0015269473142020052,0.009298505001593245
31,1,0.037127824922404275,0.032388631364012634,0.011595855695192519,0.09014275827077743
31,2,0.014721693005981456,0.01175089256243076,0.00309227013654319,0.043717143645528256
31,3,0.0349814746218558,0.03318124076050752,0.01936192415651549,0.061321757094155355
32,1,0.002546569300048747,0.0023131449571149217,0.0008995482007383349,0.005536866936863558
32,2,0.0010222587721657765,0.0008362660946422474,0.00022759299493287964,0.0028970934376014333
32,3,0.0024566384277380916,0.0023740093824349716,0.0013928575173338005,0.00398814784687265
33,1,0.13879026102481556,0.11675346409361004,0.0350795943002045,0.3743420970131284
33,2,0.048107522313263956,0.0426887604597576,0.014777285261612583,0.11440761525517913
33,3,0.13765654608703476,0.12027907559852194,0.04377885511085539,0.33455893995671326
34,1,0.06662373478864751,0.058812476041978624,0.019546227139078796,0.15935238899413656
34,2,0.023426611715495448,0.02154544140090914,0.007739966977005727,0.050121884070160154
34,3,0.06509069087361166,0.06073081664702866,0.025941855113773712,0.12933527622366814
35,1,0.346296325556491,0.3256276438537501,0.14387737497131217,0.6657340503888965
35,2,0.1449560726315857,0.11656302283788174,0.031243449475528696,0.42082681116216136
35,3,0.347669228052063,0.33464806831699784,0.18203916536737655,0.5878092916934571
36,1,0.007372418063539189,0.006772663634753464,0.003049718963784917,0.015136456320431731
36,2,0.087510128021123,0.075885813599639,0.012848773449498042,0.22514461274120004
36,3,0.02413999893778943,0.02377733689092311,0.010675635608109739,0.04013812610045854
37,1,0.14143842079486527,0.13534338799570095,0.06476903914272086,0.25355651578648114
37,2,0.08068104691901927,0.07490913589999285,0.030481788998327774,0.16372884577536118
37,3,0.11013475235305673,0.10798534851849981,0.06688848096474016,0.16649178655325664
38,1,0.007617684762291676,0.006642087392669865,0.0024546510493415174,0.018206987838919487
38,2,0.08175395578154357,0.07375157795890194,0.01530230956018736,0.19626990558795146
38,3,0.02535454690018934,0.023615662999599066,0.007629502618027245,0.05408083342330533
39,1,0.16631974695032625,0.15103504141931848,0.05887032161403111,0.3607729957668191
39,2,0.06690563189622027,0.05465269446423489,0.014710863604975687,0.1900274375628232
39,3,0.16126046680527484,0.1549147936319421,0.08869493198576164,0.2709402512028138
40,1,0.049824059683803046,0.043054394013007674,0.01510081424504318,0.123811924518159
40,2,0.019647383110904065,0.015645238268515764,0.004068005787579556,0.0583402973096351
40,3,0.04706451039706775,0.044198143095790246,0.024318932789080715,0.0868392120782805
41,1,0.030051618993430687,0.02648922898643636,0.009579669925443752,0.07091631873628035
41,2,0.011822581124426315,0.009624512198218386,0.0025980185052514406,0.03379772206840727
41,3,0.028376713570363685,0.0272771846981015,0.015901940447654507,0.04730267684964709
42,1,0.02915222263348706,0.02624936519376299,0.009936306668293458,0.06525224548938074
42,2,0.011752932698809471,0.009469999443002464,0.0025190800379859537,0.03443100998289916
42,3,0.02806933533605213,0.02689813380763289,0.015432868037063167,0.047466476060623805
43,1,0.002318940214850333,0.0020589900829424156,0.0007676551782158873,0.005376953146042033
43,2,0.0009227972316867481,0.0007454868180715737,0.00020121767333260995,0.0026718244961819763
43,3,0.0021907416602454616,0.002123664824984689,0.0012958508172346858,0.0034624148478045154
44,1,0.028905938339576956,0.024914523071024847,0.008753694442114247,0.07227941116695237
44,2,0.01143779152703159,0.00907035344331807,0.002340626206712308,0.034069900935476946
44,3,0.027320024784556234,0.0254010740179908,0.014315293623154205,0.05153289313241053
45,1,0.6315869959829771,0.5657684046913979,0.2131051792152286,1.4325880771303197
45,2,0.25384587702226125,0.20412011101017774,0.05449247871044389,0.7403709392222432
45,3,0.6022414326916011,0.58156508191796,0.3446626013781434,0.9758937419579405
46,1,7.134284735824856e-05,6.482132281853688e-05,2.7897686851569758e-05,0.00015308661094340248
46,2,0.0008199508949175494,0.0007295775721599691,0.00013126117940583297,0.0020128462510027884
46,3,0.00023546864863956403,0.00022800397631849827,9.169111025487561e-05,0.00043126227197442
47,1,0.00028700229950277974,0.00026001403853474027,0.00010023680498518194,0.0006299197054824157
47,2,0.0030902160149483553,0.002905803494164256,0.0006084935489386109,0.006612786116832967
47,3,0.0009564960397408325,0.0009252895258205539,0.000310765516965311,0.0017946646343421678
48,1,0.06677025223828328,0.06110728090671285,0.027909087846786546,0.13846414489157077
48,2,0.8389777433148231,0.6773884697835546,0.10393714138096175,2.461916256924536
48,3,0.21654447027295162,0.21080545599524483,0.10888584717527089,0.3570831122194356
49,1,0.4128452401909942,0.3646324581216136,0.13348923756514242,0.9675149384470844
49,2,0.16397145143427075,0.1322015278792181,0.03524141919930282,0.47994174251245997
49,3,0.38910140411008115,0.37641308589354633,0.22544050350191064,0.6277123084648051
50,1,0.0013121593509633708,0.001198066080107166,0.0005258183050108257,0.0027781852251588654
50,2,0.015555689692651918,0.013388233613037204,0.0022498966008355236,0.040442345380412706
50,3,0.004308057238169357,0.004168557567221661,0.0018247983216137758,0.007627978114548787
51,1,0.1358691855624052,0.12609043885938576,0.052497949057248916,0.2756897824738166
51,2,0.05540540314065238,0.04540170283048937,0.012335987561044407,0.15581239603103114
51,3,0.1339611775527006,0.12919958671842757,0.07371803647609305,0.22217529089094878
52,1,0.2479903060816583,0.23723379261517097,0.12357552680429579,0.4341739164896818
52,2,0.10639350628754185,0.0865659253804312,0.022030665181707702,0.30652890917453274
52,3,0.26276415183908175,0.2463375590195166,0.11118625623089766,0.5087147011250216
53,1,0.0010543518376332492,0.0009771872762386839,0.0004652656769704772,0.0020940282480788755
53,2,0.01310159464952802,0.010870309139172793,0.0017186881611823213,0.0363040176091924
53,3,0.003422447419860268,0.0034095472274732336,0.0017853475154661139,0.005151811852856498
54,1,0.18138100628376913,0.15537290433277046,0.053605072457992724,0.4625862763432624
54,2,0.06747638266763356,0.05809811124165312,0.016874673816056465,0.1711860879836608
54,3,0.17325437913137345,0.16097258831804978,0.0836869146995606,0.33480824899269124
55,1,0.004066652457226913,0.0036135515690833104,0.0012479418025287577,0.009542115127716133
55,2,0.04234628444067705,0.039844832449241654,0.008786556273646278,0.09248142972268802
55,3,0.013592469091855935,0.012811337618212904,0.003813920506374274,0.028320616579924816
56,1,0.017214457501006402,0.015253891587202634,0.005883715792111441,0.04022025082985486
56,2,0.20439305477594932,0.166814757265913,0.028075626074544256,0.6036156464109981
56,3,0.056706396136842085,0.05281733088060678,0.01981304196937993,0.11676569646248729
57,1,0.044047275028044286,0.03878933877738584,0.01436092083261541,0.10429199380543527
57,2,0.017881762196425226,0.01411387583035928,0.0035526122234434856,0.054639152185464605
57,3,0.04303479282265103,0.03950226992824915,0.02028687168132881,0.08607488226308241
58,1,0.1749356337781843,0.1668618816308524,0.08811824021164616,0.3112857370378699
