state,race,mean,median,q025,q975
AK,1,0.0032895002144636494,0.003013974566550834,0.0013474140385610397,0.006783309226387302
AK,2,0.004380413669754262,0.00413176888231385,0.0013743880290053446,0.00871035183238299
AK,3,0.006176562354741597,0.0060567850340459885,0.003973271408904842,0.009059583858064421
AL,1,0.016922779562904035,0.016475448635026393,0.010028452275392901,0.026316066566726286
AL,2,0.008693963819931115,0.008369107131167196,0.004041043650519183,0.015002147733433146
AL,3,0.015483665880309442,0.015288904715496352,0.011131856488314858,0.020960907129067466
AR,1,0.0058489318945006115,0.005516534077747317,0.002790760788160503,0.010789559903496282
AR,2,0.015065991582093126,0.014138353196246997,0.004922241634814857,0.02994159298337724
AR,3,0.014609661170997058,0.014421601323814714,0.00972193203107808,0.020552943171087214
AZ,1,0.15551556398679128,0.1464668148387521,0.0756669625461865,0.2875219147370715
AZ,2,0.08790151917267897,0.08335111826008973,0.04447151008808783,0.15763416833874094
AZ,3,0.29891757867813046,0.29629472179267946,0.23026504393143996,0.3824489251521909
CA,1,0.1304429025559309,0.12689498937590454,0.07886885932376984,0.20259585731118512
CA,2,0.043777395909662876,0.04221411857310764,0.025501594913655716,0.07117293102883314
CA,3,0.18924622225581775,0.18782648412322767,0.149459204275546,0.23698246449141788
CO,1,0.00494432514653981,0.004827363214020115,0.00311440025281089,0.007433791579982944
CO,2,0.009680164906047752,0.00939461934052383,0.005004471371488763,0.01585778452365086
CO,3,0.029308848695032697,0.029150847995335908,0.023707366484137044,0.035769578405893274
CT,1,0.0,0.0,0.0,0.0
CT,2,0.0,0.0,0.0,0.0
CT,3,0.0,0.0,0.0,0.0
DC,1,10.5884280636018,9.7120348209483,4.128878767486127,22.105989150124504
DC,2,5.147424390036691,4.751342812689028,2.049687436614898,10.499625143809544
DC,3,6.542713411449769,6.466924736901728,4.712827980700027,8.822890610983686
DE,1,0.01456669992443382,0.013744653804784087,0.006901034820789232,0.02690834552017871
DE,2,0.11321117257735062,0.10235534645786187,0.03541161075167413,0.24580523493007372
DE,3,0.10503224901008745,0.10466484982996506,0.06991373146262182,0.1425934687655746
FL,1,0.07594012803310228,0.07437567278516335,0.04844896824354417,0.1123705589553837
FL,2,0.056366791685500905,0.05482253974914275,0.03273484714021794,0.08898915422312788
FL,3,0.13748589144245632,0.13655455625880594,0.1108336246363032,0.16936455518369517
GA,1,0.020806254268988973,0.020224840070397397,0.012526786221137348,0.032386189218223026
GA,2,0.013747769207596027,0.01329509130501082,0.00648252552339174,0.02343822361585338
GA,3,0.02716768492172743,0.02703025792958718,0.021871550719984322,0.03324808872786039
HI,1,0.07369401406047889,0.06923997744281628,0.03722216845225797,0.13559406890391698
HI,2,0.06965543375239938,0.05987505441164305,0.01824470534259057,0.17463307031163638
HI,3,0.13318235907682746,0.13052046271784928,0.08984776813999266,0.19089278078058053
IA,1,0.0020054125109137157,0.0019229488822383569,0.0010551571521278955,0.0034322900271525733
IA,2,0.004784245149753469,0.004575876972427364,0.0016403546743503758,0.009030898440835015
IA,3,0.006703386413359714,0.006602793098816907,0.0044109727152832475,0.009591322732387293
ID,1,0.0025064492371804983,0.0024129516144287145,0.0012358099546274438,0.004341708724617558
ID,2,0.009153946336274343,0.008617543676035386,0.0029647681028362343,0.01808440132707078
ID,3,0.015657521968578086,0.015331772955653706,0.010311014663328684,0.02284633835170058
IL,1,0.008381212495273795,0.008153177712735028,0.005187927840772536,0.012850611244861792
