state,educ,mean,median,q025,q975
AK,1,0.025607600143517734,0.021375524468200742,0.007000795456941181,0.06864436930847286
AK,2,0.0224496134361443,0.02157623210320215,0.011432028211321943,0.038186369289585666
AK,3,0.03387213890013876,0.03320100231703607,0.020337529010685362,0.051319712533210875
AK,4,0.03887788653097565,0.036348623442149106,0.016047373181603437,0.0750647993794251
AL,1,0.023511456431926377,0.02106738307021308,0.008321402533856897,0.051771861052961006
AL,2,0.02447299551343473,0.023930397148285487,0.015247517861095445,0.03687819122717302
AL,3,0.03526196952007965,0.03477024400010219,0.024129730689896253,0.049182695581082354
AL,4,0.033926751343422865,0.03227688689246801,0.017443310369543757,0.05955707767486943
AR,1,0.028692353512207378,0.024343862466231072,0.007964910493785345,0.07307684481555142
AR,2,0.02480505519082489,0.02397874287781401,0.01282848796938231,0.04131790640505979
AR,3,0.03735702599369096,0.03669323832257189,0.021945435717152757,0.05669538649151104
AR,4,0.04299539853378514,0.03966134945804072,0.017842427534520592,0.08657861952588437
AZ,1,0.015159254973729431,0.014094466186436456,0.006965393139501473,0.029645091006368064
AZ,2,0.03167940604530828,0.030922766333040162,0.019893009887516386,0.04780075745517785
AZ,3,0.03311398403902907,0.03272105196549646,0.023467011870342266,0.045014559765851954
AZ,4,0.04640697331508091,0.044907390191731344,0.025509341148031862,0.07598397348206004
CA,1,0.017767807344373637,0.01672841007253202,0.008670684981922853,0.033135454291867504
CA,2,0.0376948793767178,0.03692346378584109,0.024725467398141104,0.055115870716009305
CA,3,0.040916881821189854,0.04052581132383845,0.03019628838157235,0.05391645824761476
CA,4,0.05260735179315476,0.05124580238985463,0.03136980910578741,0.08156270758071246
CO,1,0.024112994388390336,0.022176777438138773,0.01069118537487875,0.048559646576833836
CO,2,0.033291147991753776,0.03282172838684454,0.023070489248744754,0.04621285788343195
CO,3,0.04125004698534974,0.040975979188394046,0.03170026462578865,0.052276117495863826
CO,4,0.04628015759645625,0.04547205176558712,0.02979838173199513,0.06716017652086999
CT,1,0.0,0.0,0.0,0.0
CT,2,0.0,0.0,0.0,0.0
CT,3,0.0,0.0,0.0,0.0
CT,4,0.0,0.0,0.0,0.0
DC,1,0.03335293796738545,0.02917545969212724,0.010078241025979692,0.08087308179378619
DC,2,0.08451580476383384,0.08112788758968313,0.04338904556522628,0.1455497943705043
