county_index,ethn,mean,median,q025,q975
1,1,0.005018894281102504,0.004126684864218522,0.0011784720944932837,0.014111160285292778
1,2,0.017509847694054725,0.016732489196672442,0.009651287095340707,0.029768512410323477
2,1,0.005184727544710481,0.004292652456801441,0.0012478306993222103,0.014347398915211014
2,2,0.018117708644515805,0.017418679155451266,0.010268282534436523,0.029837908911686094
3,1,0.00205502665897322,0.0019050941669989687,0.0009854102958785967,0.003991372016157201
3,2,0.029567019605158174,0.028000185823639497,0.018099291249357073,0.050212446711160534
4,1,0.022465303867098368,0.01918700999144647,0.007174819961831834,0.05701426782504564
4,2,0.02331584572715964,0.02107542955326567,0.013187070823022493,0.04737819613974567
5,1,0.014327956972510337,0.013280174633769123,0.005715003007095565,0.028928480507055723
5,2,0.015120082365139521,0.014889622119711558,0.01061906794107657,0.020962430934261877
6,1,0.0019976187733865536,0.0017133991170756552,0.0008283175237344734,0.004915515662394264
6,2,0.028710477232341717,0.02486702849255612,0.015071609866473908,0.06568909455962624
7,1,0.002481163332470409,0.0021943034575338497,0.0010233458201239836,0.0056465322312729506
7,2,0.03567817809888256,0.03216784121291948,0.01818735154244365,0.07403595861152923
8,1,0.00468716924500192,0.0038648283146392667,0.0011142344227905573,0.013170675208323341
8,2,0.016356356662666525,0.015629745349233844,0.009114556280035479,0.027700285227530208
9,1,0.0013494219446323152,0.0012496066907359956,0.0006865506600294027,0.0026078302877650147
9,2,0.01940197655759802,0.018285266783039593,0.012998970792926324,0.03283534955596587
10,1,0.001959711259143333,0.001819642745798971,0.0009344133014648541,0.0037957423962891273
10,2,0.02818029099116568,0.026754567452026347,0.017253066161245254,0.047366995790638175
11,1,0.015492786102385987,0.014018356762976036,0.005841275694599725,0.03377621532292175
11,2,0.01633284713565703,0.015496901972519569,0.010652383054083224,0.027151783403424366
12,1,0.0010753507472635222,0.0010303050491536723,0.0005858510794957404,0.0018235792035194206
12,2,0.015464580683998858,0.015280940515008529,0.011303887339902943,0.02065627687759433
13,1,0.002408275790703479,0.0021549601289009065,0.001022484844580117,0.005276953740061943
13,2,0.03462678705897017,0.03162596754063095,0.01833191795039189,0.06879579222574511
14,1,0.0027938577991423784,0.002501371832122198,0.0011736597428776208,0.006143690385409025
14,2,0.040180899278408184,0.03673662059020198,0.020882867942875704,0.0794387348243554
15,1,0.0020304802285471967,0.0017198078712681356,0.0008156776461880547,0.0051183999489516985
15,2,0.029193103719982787,0.02497903841694945,0.014750067049894622,0.06868518437959029
16,1,0.001970652933225127,0.0018128506372186394,0.0009273245673606956,0.003937834077015013
16,2,0.02834979559739703,0.026580050982073736,0.017036815529494872,0.05011973678320735
17,1,0.004253394899633906,0.003509501810469013,0.0010062133366931715,0.011981720643182713
17,2,0.014818751281270224,0.014201726076440751,0.008342414008713023,0.024846461845479378
18,1,0.0025832717030973337,0.0022945134303348504,0.0010654262422055264,0.00584889565114937
18,2,0.037143126759169566,0.03357429098690411,0.01908649914145666,0.07639419209293834
19,1,0.005305333044074627,0.004483144225655284,0.0017196686763333504,0.013715839041409253
19,2,0.07623100277244653,0.06609771228170377,0.029446605798729583,0.18181327081916893
20,1,0.00245308133803439,0.002295052295040621,0.0011793197001751157,0.004643173062184771
20,2,0.035270992185639824,0.03391269603214733,0.021715542819558196,0.05670900875446969
21,1,0.0010873767582104822,0.0010261658624899157,0.0005825503254995767,0.0018911901395778537
21,2,0.01563261466067427,0.0151726601887002,0.011266431954618905,0.021585620112827036
22,1,0.0016963043414925227,0.0016052719011913248,0.0008748271058554678,0.0030439901619845316
22,2,0.024394909109946017,0.023698193313547326,0.016462232527018426,0.03627507995233205
23,1,0.0022267300459840457,0.0020999425232079275,0.0011145656665240808,0.004077959458271168
23,2,0.032031303747770086,0.031018010935860058,0.02059341426403915,0.049196700492872524
24,1,0.0012786207267059227,0.001212226976211081,0.0006699484252082132,0.0022747054845782965
24,2,0.01838947392555171,0.01787125000321378,0.012763530978948655,0.027163374354641355
25,1,0.0021698926985261806,0.0020366847347658007,0.0010819883435710415,0.004013638739050244
25,2,0.03123471865714186,0.030040107944462845,0.019946299009177736,0.0497411429709469
26,1,0.005629657431328529,0.004630190399622023,0.0013231729807191832,0.015793861385642448
26,2,0.019628513572090795,0.01875623716729491,0.010755776064469421,0.033504324604430966
27,1,0.0017310398635306027,0.00158827634619409,0.0008209309555560168,0.0034903315980393214
27,2,0.024895706382988866,0.023238749092340562,0.015201875747622101,0.044571146225621736
28,1,0.004695571113094754,0.003896265473598537,0.0011381049329512187,0.012959420248750641
28,2,0.016395700662224653,0.015801026551002705,0.009413697221364533,0.02666276690062209
