county_index,income,mean,median,q025,q975
1,1,0.05261601688190077,0.04856738116439942,0.020793638546961625,0.10790446730609127
1,2,0.01866796812551775,0.016804547800519785,0.006434289581804975,0.04172389028962894
1,3,0.019597707164368053,0.018446429792493585,0.008978206726589125,0.03670197980970255
1,4,0.015923239967082094,0.014560238958762723,0.005904110713411748,0.03366702687905822
2,1,0.051857376193727725,0.04825984452244389,0.02109947777674053,0.10321853667605013
2,2,0.01849098145537922,0.016643799557281208,0.006432849737776209,0.04094539069125909
2,3,0.019388300194196833,0.01832408926814804,0.009010830029000948,0.035935317235179585
2,4,0.01564982989446237,0.014485788440944105,0.006078174057742682,0.03185959176216345
3,1,0.015983651271481655,0.012015438664713381,0.0022318062030642154,0.05257395843747064
3,2,0.06010628753057056,0.05332949438320088,0.011356022324762297,0.14700615513497511
3,3,0.040156844884767014,0.036336211185230886,0.010973135581810638,0.09171092656596798
3,4,0.046069721736642526,0.036523053229747096,0.005110577553847157,0.13788804116025793
4,1,0.03785317693776219,0.0328048861006789,0.01042119864309602,0.09564864103071699
4,2,0.03426690385408862,0.029335284659904377,0.009305929402350425,0.08841987053176974
4,3,0.03724919920810572,0.03346297258576969,0.016124951572862718,0.08108735348896771
4,4,0.03591320399784652,0.031791937215086,0.013495677077808719,0.0832001039253942
5,1,0.021648114592273462,0.019582734853027067,0.006442052890867396,0.04862226017501917
5,2,0.019384124444948903,0.017486414223258966,0.005940583411917093,0.04326166259428015
5,3,0.020873898881182792,0.020275475931384013,0.011271313123897803,0.03382671905417797
5,4,0.019999519604558463,0.01916099209775564,0.009508373261149844,0.03515899770786479
6,1,0.018395833467399623,0.013446113507113638,0.002475553636286824,0.06290164309301845
6,2,0.07068296587577366,0.058418161486749665,0.012264867164390708,0.2047075917355689
6,3,0.04727195438490477,0.03984684714142724,0.011685236467750387,0.1279535802375228
6,4,0.05635849820152759,0.04013366824680442,0.005198498416440543,0.2007914399807224
7,1,0.01649887334639206,0.01174511177834028,0.0020516613612265255,0.05866284608403988
7,2,0.06117738795998765,0.052025301653910075,0.010721174476847282,0.1669477631077752
7,3,0.04121920654910967,0.03533994786299538,0.009965344457385387,0.10770012144056978
7,4,0.04693802098862413,0.03584181295789787,0.004871143981251219,0.15110843902404777
8,1,0.041514962171021665,0.03891529044370279,0.018266250534168374,0.08016091638984164
8,2,0.01495075792639318,0.013482074045483744,0.005197642029295709,0.033205278028224317
8,3,0.015782692891729934,0.014788315875216927,0.00706546036489314,0.030313769801665065
8,4,0.012937519654558785,0.011669914359481625,0.004516240627933162,0.028709891098099332
9,1,0.008944344220398795,0.006662099047652709,0.0012621071485940296,0.029765034551201445
9,2,0.0335211201222633,0.029784565595933066,0.006325233611309495,0.08150417368594104
9,3,0.02221720795907345,0.020220400894279726,0.006336842896396283,0.0488608138041496
9,4,0.02536732581691844,0.020368818233161744,0.0029411932712485166,0.07295980957625871
10,1,0.013003001323717888,0.009578179525881494,0.0017769923208459215,0.044288964349671944
10,2,0.04905308767016149,0.042770927689313135,0.008646700442774762,0.12553005811317758
10,3,0.03183357217834589,0.029220168414714226,0.009195086524029403,0.06984986286798835
10,4,0.03663601653342551,0.029428841744046492,0.004188276485119535,0.10742841972338923
11,1,0.02183176670807229,0.019224683970049894,0.006128925027407168,0.05247752362057124
11,2,0.01943690004816002,0.017196242053868414,0.00574973526993555,0.045574361884194996
11,3,0.02092081077302359,0.019750605023987865,0.010901989977039258,0.037937860512088736
11,4,0.020197210881921366,0.01874652783251998,0.008806578091033048,0.039881480976914505
12,1,0.006914103376090133,0.005271949623465855,0.0010111799901070815,0.022181583972515843
12,2,0.025837191093339512,0.023723912373470907,0.005130362275568264,0.058099707082071024
12,3,0.017276538064282903,0.016110045517102423,0.005022004900236432,0.03593272566499118
12,4,0.019531045820190954,0.016157402905307837,0.0023746310918487455,0.053531207658641236
13,1,0.017333114340545925,0.012486537872901621,0.0022270473146732985,0.06080756485297226
13,2,0.06493170064209383,0.05504853308395902,0.011062441517359063,0.17557273390654643
13,3,0.04318737633818343,0.037592436411977195,0.010823669378159002,0.10852480868337246
13,4,0.04885659875052331,0.03799871196865635,0.005335247062636153,0.15218510208915845
14,1,0.018160499192977703,0.012935515149606839,0.0022517618954457637,0.06497055119713943
14,2,0.06829650059963294,0.057301294353273725,0.011152930358884561,0.18995983213020448
14,3,0.04456335593321652,0.039130298345167555,0.011341765181843034,0.11026722180740384
14,4,0.050695472877166796,0.0393958128972656,0.005514621389232889,0.15880492304348523
15,1,0.014710255058641483,0.010077359007881738,0.0017317172735920956,0.05474734918488807
15,2,0.055364159180866346,0.04443654627981948,0.008457703161083768,0.16930695722145384
15,3,0.03592245017475972,0.030156904669058085,0.008772407705343762,0.09832124226092977
15,4,0.04081953096982417,0.0306668760654455,0.00428521330181096,0.1358007604695871
16,1,0.01341181199600236,0.009764376458154648,0.001726241266107177,0.04650839277114967
16,2,0.05193142435194842,0.04343972119932446,0.007831757692119279,0.1435253212580613
16,3,0.0329576862224928,0.029808263466646646,0.008589972467455572,0.07617943116046957
16,4,0.035228822670655496,0.03005152630827667,0.004854798386834226,0.09402672611272132
17,1,0.036119799674432934,0.03384607636557434,0.015547241389842922,0.06957487155950819
17,2,0.012978464226308602,0.011709524244331096,0.004519857139906181,0.028767176826848272
17,3,0.013664324452869053,0.012844494290529281,0.006246919779140676,0.025863500454639587
17,4,0.011191652831527272,0.01014936937975002,0.003970064676955121,0.024553480891256526
18,1,0.01719971502313277,0.012409992559220793,0.0022048129867454796,0.06025415851782945
18,2,0.06436857167597897,0.05443129782516455,0.011185530156536427,0.17642201938662044
18,3,0.04291978746075487,0.037169410719676985,0.010863946224673371,0.10898631824677993
18,4,0.050317163652227485,0.03752668066082038,0.005001123828986014,0.16701484938610905
19,1,0.03699240431876313,0.024330317381092176,0.0038857682849416757,0.1460958097098146
19,2,0.1385434145636345,0.1073367685082553,0.018730873267655223,0.4458251557595309
19,3,0.08857915307824042,0.07317730837235632,0.019532090665391435,0.24737710704168764
19,4,0.10218367560077556,0.07378091846175205,0.00949693242174972,0.3590380781977442
20,1,0.01728654329264209,0.01292724005979364,0.002398878305783612,0.05798395522043118
20,2,0.0653615621273148,0.05771749060091165,0.011757517922548371,0.16116404735936157
20,3,0.04303480915317922,0.03932043039063164,0.011945383423944689,0.0955148756315534
20,4,0.048510896942912066,0.03955692657356905,0.0057616523817827,0.1381414289482481
21,1,0.007762722717245893,0.0059256712621488985,0.0011613159085784902,0.02480161430003935
21,2,0.02969108765965984,0.02650880430403701,0.00556671600214526,0.06962096092333893
21,3,0.019403658396206398,0.018061520397786836,0.005871121795024978,0.039324387334078996
21,4,0.02217153090522178,0.01810877913167796,0.0026667105561541285,0.06167449371982115
22,1,0.011723569079535315,0.008645415253668432,0.0016090414235468008,0.039917970528195935
22,2,0.04416992318054473,0.038936349510702004,0.007676494581750599,0.10911689257883266
22,3,0.028490568397944657,0.026647451672839547,0.00832282851079181,0.05906065774254896
22,4,0.03171830929801088,0.026835520747239633,0.0040960932397158195,0.08419557236689255
23,1,0.014496453215704655,0.010829561096000476,0.002049428512504844,0.04781064727504361
23,2,0.05451431463284056,0.048574417290380464,0.009962886825278038,0.13185427989379173
23,3,0.035596565713454036,0.033122046983350716,0.010484704386320053,0.07478357445653587
23,4,0.04090215700246441,0.03318257558098489,0.004801166672078198,0.1171120671936804
24,1,0.008340838383741769,0.006524413210303791,0.0012764980378601823,0.02577099181594597
24,2,0.031110965608484854,0.028904192420902624,0.006832054866717984,0.06783810103172945
24,3,0.021356868898515423,0.01963239934592891,0.006109946979235672,0.04626086655178358
24,4,0.02535200671324304,0.019504206100000754,0.002652165652530335,0.07865303581812043
25,1,0.014287116542405323,0.010673143611734489,0.002021981262483969,0.04785389926790026
25,2,0.05352122676929424,0.047725519457689713,0.010031960975981526,0.12950339816561246
25,3,0.035106598636550114,0.0325111574624502,0.01039032976502554,0.07438328821955835
25,4,0.04078586420095715,0.03257338855581143,0.004625611867828408,0.11969231852070379
26,1,0.061794884178727506,0.05708684095710047,0.02440151542825368,0.12667049768000077
26,2,0.022035184221018377,0.01971697232948702,0.007450813157494764,0.05011782902129024
26,3,0.023044605571124394,0.02166297050132581,0.010475921654883407,0.0436256326860299
26,4,0.018647145050381852,0.017113938629854553,0.00705049523992686,0.039009779362171045
27,1,0.013925026884281462,0.010425247855211088,0.001975067883012409,0.045735670008845423
27,2,0.052585457287836306,0.046240576666337144,0.009873669955595884,0.13213609674107674
27,3,0.03462349683593151,0.031532174740932915,0.010096917933321074,0.07751796215533058
27,4,0.04131623295129409,0.03150526509129643,0.004333126816538528,0.13152799655274514
28,1,0.042771712392484285,0.04034965893582104,0.019039765079019933,0.08061440244140507
28,2,0.015374245989259122,0.013980535754800537,0.005446315105647233,0.03325236549194603
28,3,0.016239072727147454,0.015314198583988772,0.007461453084315494,0.03022709042181349
28,4,0.0133238528990958,0.012089832752964443,0.004721649198298187,0.028897854416680496
29,1,0.00801607668298534,0.006173426368874859,0.0012055340919524826,0.025399087222948584
29,2,0.03079355369264523,0.02754462111558484,0.005675493084009181,0.07329565064131167
29,3,0.019923740714486698,0.01884888955682101,0.0061183584542289235,0.039718169318069554
29,4,0.022581374092281545,0.01888265806510004,0.0028412936949788917,0.06078129611909725
30,1,0.010873780772189586,0.00795573686831673,0.0014779520636616617,0.03738550822346831
30,2,0.04019610264706855,0.03557413386686662,0.007546113516855769,0.09995325730583554
30,3,0.026621917337037903,0.024213137605211356,0.007556834553719796,0.060006839948340815
30,4,0.030886330684155,0.024343715768257335,0.0034011615065252976,0.09302436600152915
31,1,0.03687227250502085,0.034163320375877854,0.015536437602482451,0.07412561529367881
31,2,0.01315899140445683,0.011847148321741881,0.0046288387832896325,0.029229960928227237
31,3,0.013914936400255004,0.01297482601865919,0.006290773412404007,0.02700471417523457
31,4,0.011473178749657843,0.01024217557639159,0.0039027269634323465,0.026112243438393235
32,1,0.024023303917142556,0.022826161786259513,0.011405999469414766,0.04350962661411504
32,2,0.008706536894576749,0.00795583530495884,0.003061456247346509,0.01862772709810484
32,3,0.009340544134869629,0.008700440361698387,0.003876536633073896,0.01845607355578613
32,4,0.007726124135530628,0.0068325864922297135,0.002468760301703848,0.01825469683147357
33,1,0.0506680860301557,0.04528917378548851,0.020163261708021556,0.11272764517565043
33,2,0.018566716718561124,0.01582724535422226,0.005403441672785751,0.04768614483032924
33,3,0.01963479064050243,0.0173226082249782,0.007047729945641102,0.04581106648881415
33,4,0.016159069005990567,0.013719165144704053,0.004602159160965443,0.04191512798284175
34,1,0.0420346664730259,0.039209909506726995,0.018252746369633855,0.0818964479835548
34,2,0.015225992361032396,0.013602134764050387,0.005091130262917636,0.034759251754453976
34,3,0.016105970616366545,0.014915305162360278,0.006842749344372925,0.03219904091911705
34,4,0.013074532191092288,0.01179886079858275,0.004545464286204351,0.028944206791671707
35,1,0.04244429218817437,0.04018674488449386,0.019117682691678205,0.0785813516300863
35,2,0.015280444288189816,0.01388834948910185,0.005462724413389392,0.03309202570558327
35,3,0.016102727552303304,0.01525677502503836,0.007519465744076071,0.029476806323231144
35,4,0.013157943670715835,0.012037520346197032,0.004830882575108549,0.0278673025928807
36,1,0.0100718706702361,0.007518856277183428,0.001441907803867212,0.033430490926511666
36,2,0.03764273439386354,0.0339189927920842,0.007147267600117919,0.08893809778908723
36,3,0.024683473981591115,0.023080102441601476,0.007400566581835069,0.05097423479990896
36,4,0.028391847491325603,0.02314578077566693,0.003342622185988099,0.08031027668106198
37,1,0.032839192524507,0.0296158762844641,0.009700458564876538,0.07406735797141425
37,2,0.029340437742797446,0.026517453623570733,0.00900823003652628,0.0654420325411719
37,3,0.031678738964654035,0.03070044155679706,0.01685542685259296,0.05196723130048129
37,4,0.030196393739012232,0.029043096024064997,0.014590747259828233,0.052282350033441345
38,1,0.009873580923797346,0.007209789901673416,0.001350885382763256,0.033651465506072266
38,2,0.03699166744152458,0.032236239882857426,0.006808593565406264,0.09298498029151528
38,3,0.02447763336211834,0.021870566464056416,0.006869651354684023,0.056470410382621364
38,4,0.02832226453308098,0.022016051360348454,0.0031240210762547935,0.08527379928739544
39,1,0.043702306549266726,0.041016199195413716,0.018850817100842385,0.08400202238573296
39,2,0.015665144257079443,0.014195597031029327,0.0055168681518694045,0.03436737329830653
39,3,0.016508185584023255,0.015560248575635462,0.007595104493646298,0.030762938208070478
39,4,0.013500833314386635,0.012296736372651648,0.004877471175760051,0.02908544174088016
40,1,0.054567688557232506,0.050038683205037515,0.021595954617791065,0.11447273548256517
40,2,0.01953230870508815,0.017355816073763818,0.006409003707813093,0.045531012771753226
40,3,0.020532468184845425,0.018971051349116783,0.008830160239434788,0.04128385503742751
40,4,0.016844391274940352,0.014971363184475155,0.005666495133382048,0.038674215542641104
41,1,0.05055655991446359,0.04766622380073313,0.022606608523124485,0.09490841581966229
41,2,0.01837925902183131,0.01649709966302472,0.006208060487765438,0.041606882071778546
41,3,0.01931711804731019,0.018115817286089,0.008559342419899418,0.03698596470058339
41,4,0.01568097420057032,0.014317032837411769,0.005669847439270196,0.03343942299409943
42,1,0.060724511270120796,0.0561523260996465,0.023813290329200903,0.1239787139580345
42,2,0.021630769430965136,0.019425659919790596,0.007328791012464373,0.048840531584200625
42,3,0.022658164356212252,0.021279031500734555,0.01023172070801673,0.042867878243877944
42,4,0.01815406779550597,0.016813872935385214,0.0071698864018628254,0.03677070478032323
43,1,0.021622644093630152,0.020728055583684797,0.010927853101822751,0.03758011432801718
43,2,0.007970011725598658,0.007194705892385268,0.00270216588981228,0.017646540880160447
43,3,0.008451963406869543,0.007900092534984122,0.0035780886944461964,0.016434563021608874
43,4,0.006960779992155561,0.006207048039849127,0.0022922137229916323,0.01595309889590364
44,1,0.03836040312483881,0.03528049411046233,0.016870359267098945,0.07779561550524854
44,2,0.014024027521519183,0.012328631624454573,0.004490833376209499,0.0335892642860063
44,3,0.01479658410594419,0.01346300062124647,0.00601979668181118,0.031364709612090355
44,4,0.012166996258088125,0.010647299727824733,0.0038613021232301787,0.02920398272057605
45,1,0.06720713132895954,0.06271759691082879,0.027389449569153724,0.13229970060326854
45,2,0.023965878614931074,0.021686821024620717,0.008340082764962136,0.05296147958969395
45,3,0.025179331317334103,0.023805766363154707,0.011556739670186389,0.04653984369818202
45,4,0.02014583958440906,0.018807596363249413,0.008161388754357726,0.039833761904412096
46,1,0.009199768450059886,0.007086310906874584,0.0013762761084033998,0.02897082097848742
46,2,0.03565235132516546,0.031390702113286845,0.006450795100654671,0.08857872366776627
46,3,0.02335949379092443,0.02137103168521881,0.006749366884731878,0.05129080267524082
46,4,0.0266699567541094,0.021520733530577943,0.0031229557596897783,0.07713940590884005
47,1,0.008715068454168164,0.006530876096213108,0.0012625172330273913,0.02854986016880378
47,2,0.03265970931481544,0.029326917692626728,0.006328909950497557,0.076424751251656
47,3,0.02155723142738082,0.019959913485867606,0.006469574777610991,0.04492298641433641
47,4,0.02502234812617893,0.019983401209756883,0.002861570520967468,0.07232098356233953
48,1,0.016908409229419125,0.012440688605874033,0.0022832043195762804,0.057870807925274347
48,2,0.06445269934443527,0.05563074820605968,0.010619431356253008,0.16596105214985074
48,3,0.041122434288924925,0.03827669357832943,0.01161200279440441,0.08717262007517648
48,4,0.045185135050766094,0.03853036682422696,0.005993015766983651,0.11932475340144304
49,1,0.05455675716836464,0.05154038867243889,0.024045639633701668,0.10227138125663256
49,2,0.019592156742686922,0.017821152493317872,0.006976195360104368,0.04244982593135635
49,3,0.020651224950996444,0.019544642415351105,0.009609872766514954,0.03790026591926589
49,4,0.016865063786904277,0.015434678540641573,0.006180931396989943,0.035654692929251906
50,1,0.013597421924090889,0.01027683974066711,0.0019329746336789637,0.04456876008870886
50,2,0.050003235844301754,0.04574457194761243,0.010540637953325169,0.1140189860704363
50,3,0.03420055820430399,0.031076385505744895,0.009459834009943092,0.07638137244451675
50,4,0.04033274928079889,0.031105697264376994,0.004193849003663176,0.12607441705671057
51,1,0.03974555048642374,0.0376840544503161,0.017956373415867508,0.07348344791541253
51,2,0.014341961320247877,0.013007550021120518,0.0050891262748434295,0.031218001190172765
51,3,0.015085507030888932,0.014292467961943361,0.007013733445891015,0.027556894579277933
51,4,0.012328409022795434,0.011275917145612664,0.004522981199208159,0.0260649222673463
52,1,0.04626470782319821,0.04332840872105494,0.019415305112808975,0.08990193094932045
52,2,0.016458434767926505,0.014967465330933679,0.005942961174054268,0.0354532656338435
52,3,0.01738748846639112,0.016436598593173247,0.008077730844111891,0.03208233099452801
52,4,0.014105076280267288,0.01297922123599552,0.005341043888197722,0.029261081048523273
53,1,0.007297697598971193,0.005632496470044752,0.0010672211659838225,0.023127347612265575
53,2,0.02611835738386546,0.024936895826866565,0.006637367661294245,0.05282033194605814
53,3,0.018432804341642947,0.017125365881049515,0.00514957116707431,0.03911604515222602
53,4,0.023920524815224227,0.016404407992422224,0.002042466264750787,0.08825959517705997
54,1,0.03439173969348947,0.03178525712931008,0.01513549762411807,0.06842015785850657
54,2,0.012354934724448478,0.011066176262838623,0.004307572218231672,0.027683538510580242
54,3,0.013148060031507796,0.012089828372001614,0.005690213262159921,0.026657204157355233
54,4,0.010759516994409508,0.009566615219680703,0.003669751331424926,0.02446133780578685
55,1,0.013770870867377565,0.010325487097671712,0.001922205364692982,0.04558555727123478
55,2,0.05152646522542263,0.04604751762192424,0.009685024024005697,0.12500485831526367
55,3,0.03455092606267077,0.03132667595383529,0.009354648882048447,0.07843341289360091
55,4,0.03899631409342509,0.03157261617597558,0.0045383449368159015,0.11292345244433101
56,1,0.01777453847011863,0.012896390315902232,0.0022895084193671022,0.062231248699301384
56,2,0.06676842841261713,0.0572841044155591,0.011460854770058034,0.17686102377221005
56,3,0.044254965550847784,0.03902655617770948,0.011201321671481482,0.10721930864532535
56,4,0.049639572450224594,0.039515987396581284,0.005587280943947907,0.1500287461674527
57,1,0.05337923737257758,0.048402477236186285,0.02116185690583611,0.1149612211365102
57,2,0.019227804683691084,0.016839435869057187,0.006104149490160999,0.046440782457222045
57,3,0.0203754679643919,0.018417582634948422,0.008010863158645609,0.04411626486280245
57,4,0.016757250722502053,0.014548483156820469,0.0051376750590238175,0.04130429861926079
58,1,0.028855504241207523,0.025057896122470877,0.007752705805695786,0.07168252559120791
