educ,county_index,mean,median,q025,q975
1,1,53.73023482339568,46.44217824667875,15.642795204273277,134.71794354657794
1,2,185.00845809877634,160.114456835888,53.24573411054511,463.206601284287
1,3,173.4104537547562,137.70308612217434,18.779012567355462,512.561043202276
1,4,58.622007059149205,45.70016534428578,10.204204916746978,182.64511023611215
1,5,82.91949667292846,67.5742352384957,15.892144191624334,237.5635955457126
1,6,85.65065945237576,66.85052105036607,9.079735214715951,270.88855097760853
1,7,89.73811117558148,62.0138845230322,7.462893901970245,329.199939670889
1,8,142.6017720557274,124.3354367630632,42.086035836856546,349.992380875651
1,9,112.87646519889714,85.20129943059388,10.936557526820854,360.506669904172
1,10,123.40519012977126,92.10889654238143,11.719342059341846,403.3884455499149
1,11,61.36615056396203,48.708762719016924,11.135452830927965,185.0523055236954
1,12,32.95601480095284,25.30533236274046,3.289032086844719,102.07511354078912
1,13,124.63604808915163,88.7984435977059,10.867154786505838,436.89146778845327
1,14,103.13150149507237,75.3916884358234,9.215965251476353,350.5871615093322
1,15,71.6568739692583,49.12859942822385,5.859491467461379,264.6964661319265
1,16,210.4399621901677,150.42084125074783,18.21906845270928,732.2713450427777
1,17,57.29468864951347,49.79158223813553,16.838609336127032,141.75765198913646
1,18,57.57993233262918,39.63516466175864,4.64441418589279,210.60572156446946
1,19,153.80116106191528,105.90371501535819,12.2256046711933,571.6500186929951
1,20,195.36691286824282,142.5824790869755,17.767085821263738,659.90867037012
1,21,38.18457841914219,29.556277745936285,3.926568590397031,115.6403671448929
1,22,343.54150499785175,255.75982375662596,32.13761693451236,1124.9987737606345
1,23,232.3838717217801,170.37728426690288,21.1503454481555,774.2053143870041
1,24,95.46939804107718,69.99107772570189,8.829040693687842,319.64368869499134
1,25,422.6386085454289,334.5477059952865,44.64006788544181,1262.9115216398454
1,26,97.39515786306201,84.11991933222579,27.93201088282656,243.5758226339961
1,27,176.8519597132713,134.33908830395728,17.433473415854607,563.3453033400796
1,28,129.1307504847914,113.14759858957372,38.853265870057506,311.95060091706654
1,29,40.32774036143598,30.53245222775868,3.8846885377093456,128.80470242787953
1,30,144.20424957474407,112.43272797981774,15.092387222605026,439.0635575044029
1,31,35.119388840512016,30.556679819547586,10.315334950475036,86.5567208456104
1,32,8.859912009048175,7.820993831394203,2.6344859863965238,21.258708560290298
1,33,32.98463022958287,27.5985077821867,8.524794628878032,88.71970441794177
1,34,28.160563196682,24.578978833083788,8.290458000140339,69.17569646175832
1,35,120.20229864818617,105.61814914427059,36.291948528871046,289.4726146469957
1,36,214.21565137315298,166.24778412484883,21.990376426060802,654.6833656205586
1,37,783.8210176313455,616.6134655653273,140.12499886003076,2405.809492520057
1,38,45.468121514749186,33.62497165772808,4.322043432567888,148.2123424151019
1,39,93.73049897770348,81.48731002599996,27.530680034694136,231.29456390563232
1,40,59.19320317541157,50.779284939649315,16.6878929610472,150.25101524815472
1,41,154.74391777942495,133.56762330848966,44.55073521711222,386.9209372119428
1,42,135.0108873431217,117.27956267442136,39.399526612823045,332.51656215327586
1,43,10.509450556439576,9.29101531792418,3.226330561553561,24.952658772116123
1,44,26.399792969859583,22.54856590974716,7.449617487015026,67.80353122363103
1,45,355.72719489933985,307.93171609757655,103.43137433394723,887.5245595581722
1,46,53.69132759187531,39.27519232552276,4.8781465570327,179.23422370572084
1,47,95.65554761670532,73.66526530680912,9.571977630524364,293.1385791244573
1,48,527.5900228732038,392.95321537114523,49.71591300270122,1720.9820401540842
1,49,499.047880535446,436.39994552517646,149.37369831671023,1216.1219343705063
1,50,95.37533476346444,72.61483502021794,9.468720523708974,302.5031795852173
1,51,210.4642458702656,183.99745379200974,63.02965684784864,511.30481567806265
1,52,165.22565753107256,145.12800963201178,50.01669802828277,395.8707097011988
1,53,22.786967956013527,17.734005096767227,2.306156522382671,69.4322964431129
1,54,22.4057424113993,19.429607166729795,6.653116754818923,55.43156231638493
1,55,118.04690444151181,83.68106969376699,10.22201211392569,418.1444984725717
1,56,143.96378973689963,104.74007680926259,12.99381820046293,493.0807197850185
1,57,99.77187132193293,84.07724237326664,26.552452792008683,263.4830800794764
1,58,119.5135053175583,93.9939913193448,21.132978329943235,366.981089584473
1,59,133.75082015233292,103.50632860180906,23.348049899297575,420.8645663345539
1,60,23.133274603245727,16.667315230527556,2.031065237409617,79.46430426036143
1,61,377.2677354505199,282.09286371846247,35.89140875152581,1229.566223696286
1,62,200.44886404413265,148.85764315967413,18.711934966337445,651.5046639205857
1,63,257.8246314245291,223.53444799919416,74.8359811726893,644.1200526615648
1,64,126.4346881949501,102.08463665015736,23.647321340373264,370.4763273218835
1,65,52.84453051695998,35.36202472619223,4.151389564472144,199.18937034898858
1,66,61.305630661965616,45.7228746417035,5.995522162314825,205.4092914539814
1,67,218.10716029656456,166.34869985909344,21.5615832904577,703.6072151606511
1,68,21.83925753312164,15.527601991748018,1.717469077914857,76.80278268108943
1,69,15.628413506574777,10.678127910278992,1.229717631803802,56.99272143651316
1,70,193.36462540565844,166.10963320779115,54.716805094737055,491.1338079975533
1,71,54.741041327897435,43.17597456436263,5.883998255438677,162.83722003661012
1,72,1.6938375007145194,0.7891207137510254,0.0,8.311860645391311
1,73,9.604665974888361,5.650071530519812,0.5691265079947732,42.17720500371104
1,74,5.154456643104662,3.269234305262428,0.3520327055484375,19.99306664568859
1,75,8.152493320236214,3.2134485716250074,0.0,45.61456411176896
1,76,13.136041082046367,8.377753583582844,0.0,51.62534481385595
1,77,51.49442585137834,44.07848397915968,14.320574367998043,132.4467676749969
