mean,median,2.5%,97.5%
963.1516510333802,920.7019912640465,530.2542024048498,1643.6883271673637
4013.0868488414585,3865.4927454997623,2275.0968355583086,6607.751369721425
723.4836544261773,684.8539352506609,443.72401498181733,1225.8471650457875
548.1224098005101,495.90371845344873,311.2821227282411,1096.0402999779326
897.08350885711,882.8817557777672,640.6168034403162,1234.5958888473776
301.32677389221556,261.8625800239998,159.18086312550417,685.596002136357
606.6878075207792,546.874910833214,309.1931414065304,1250.9022420662002
1754.5102960856118,1677.2388838713146,978.843567771119,2975.3097411238687
606.0804222259391,570.8974030562144,406.23153119778283,1028.620215505947
689.4147865540439,653.5609314300539,422.47239032224655,1170.3856790756245
720.1390701081824,683.0336737136884,477.8280504999019,1195.780383593999
179.85281632428183,177.8017106041964,131.74517910451436,239.80670847300252
735.1179675057734,669.5466408473617,390.24953843736296,1462.933100825814
525.4057271664126,480.50128562198734,272.6050527062387,1037.6803344214295
435.8317088314968,372.89397681499224,220.65142505301742,1031.3222790535515
1386.4131388079247,1301.4089521432631,833.3191350106872,2438.6968822094523
795.0202499332052,761.3328155022612,447.6025295662404,1334.0663053585292
387.50892427304245,350.22924656325654,200.03022125327325,791.4913076600152
787.3355543187564,682.4427610114681,306.56035724297186,1872.6562340476107
1255.0858018718334,1206.8121792723982,771.9191163368143,2013.9476432105982
194.77225263236463,188.7810075254161,140.4863327414503,268.1669673274803
2058.076984616002,2002.435380335005,1387.3646367388194,3053.040896754609
1446.5885018079791,1399.8459816584582,934.7769174303324,2228.4810028036395
632.8278758620243,614.329671821658,440.2506955643206,939.1748401221337
1870.9627209060595,1799.371733033785,1194.9867871676618,2969.4699267459755
1630.9079643851935,1558.7512530598385,895.5248534426104,2782.161970657398
884.7654080327902,826.7822855616807,540.521460282354,1576.2803083027331
1560.0717602072486,1504.3610801384734,896.3019280284366,2548.7723936904436
239.41959268980824,236.67747370240056,176.40260455194792,317.4460346796709
642.8789227157017,600.1576811671164,408.13972108746947,1141.8084228492435
352.01726817715644,334.0087258404134,195.82262253103426,614.1744488154355
78.79566417852638,76.33973637130629,45.60640527689024,126.3396775011143
301.16557517733867,273.2782450398362,139.9850389078491,625.2805492375428
268.3610662698269,254.85221798234963,146.54457000531514,467.5446791672827
1659.8282722997012,1604.402158581057,970.6392439089643,2657.4363273353483
1083.8606603302103,1052.7316090042134,742.2433457413057,1612.4018457068014
16609.13312914213,16366.247403640698,11726.579425923786,22879.091084661508
246.02214619886104,225.6086654345877,160.23350069464854,469.3958504100847
1520.4298685266813,1462.2611850473086,861.0773232848803,2516.519187821284
636.6986085399326,597.1284012472752,327.6585873497388,1173.9401864182553
3251.5169356868373,3126.1368441702457,1828.8503132708129,5400.250407525403
1920.9383243114382,1841.7843063069602,1068.772171975141,3218.248902614502
101.89212408843069,98.88283943497069,60.25880199800369,160.9897129670876
285.4227377888786,265.77096419022575,150.94508721210047,537.1803697966791
8786.780900903637,8493.436318909118,5081.157191217281,14182.813404958568
338.7835730585959,323.0510342532096,224.24605942784066,550.1671990677885
476.5742556348191,455.7767513318589,334.38733983613145,739.4623546236163
3057.2689402259366,2961.8954460364316,1951.1330958574333,4718.515864702706
7896.017978819584,7634.00035251499,4580.690187581845,12748.582023598916
505.6968777065502,486.0209763138678,321.82190836522733,805.5204623040573
3333.340354322635,3228.60661705358,1950.673163926848,5312.4119517422505
1911.4063213110335,1843.2281533265618,1096.6502724309169,3118.039668978098
115.49135169777496,113.9681330289478,81.22173232052147,158.2838324819054
228.37860945191682,214.7431748598553,127.8552766599871,406.50737579712734
872.4641831520117,831.9330181565308,542.3851177752911,1438.0185071188935
810.7519866414128,753.5069252202209,440.98467018229763,1517.2784653120825
1224.3354438288977,1129.0185468676282,596.1211459143199,2419.4525714212564
1833.655256589535,1762.6512324117048,1191.704616544048,2894.254085140602
4326.9734475838395,4259.423290993247,3063.885628599837,5972.312429966677
170.11015733872682,168.1252814711768,123.27781709524966,228.60834217453473
2212.1355412571775,2132.3565075995193,1417.0572736483768,3486.042962658733
1124.243692829736,1071.49265845937,698.5026116111549,1852.788468289532
5004.59728528208,4820.675874343993,2820.3912785318353,8246.318270935399
1383.329393269849,1346.5788848279544,921.8260555505293,2059.538179443798
402.4218986070016,354.81100670993794,218.470387663283,871.3776568750262
254.48219398882068,218.55723560913816,133.59296849642809,595.4263820380913
940.8299974361153,861.486011320387,488.2957193428662,1847.6397817463521
,,,
129.32131800999935,122.26412188145324,87.50197788367241,212.32271927428113
5894.259108668444,5673.534603194282,3309.2176695177022,9747.28966475405
264.1973424901231,257.2428487940425,188.2499132534255,373.4592121879668
,,,
,,,
,,,
,,,
91.90972356874701,81.80025645796019,49.94823665261947,200.01318699010307
1838.939934975863,1767.4384494591086,1031.399794639864,3045.9335348420045
27.260965422953557,26.85465654308676,17.98409889861848,38.773944219963425
,,,
1043.625935174409,974.375369639916,470.96997364569336,2039.4328702121236
1437.3188375204077,1372.9995961861719,840.9203285691627,2406.6310435447626
469.6687377570365,440.24850431367906,206.1733001861397,909.2027154670575
299.7818937032747,276.91396792650164,176.9482009774421,563.5163136835465
130.85123837824537,119.41558531182869,82.42797746493339,253.8322569426454
14.678577373968295,14.433809459530535,8.697507957507218,22.030435864143854
1583.290765201495,1529.359166731465,917.1764331629347,2557.3559360590916
187.10294440817134,168.55411643652775,113.02640901564126,379.02443187724975
211.77799197428826,209.35130332296904,154.35431544228715,283.5811700409591
,,,
,,,
101.52473609957498,97.7481232671893,72.77583847406328,143.92173254497226
